model	dataset	subset	convention	stage	seed	pooling	step_acc_test	agent_acc_test	layer_range	gamma	w	svd_orient
deepseek-8b	correct-full	magentic	val	svd	1	mean	0.5403949730700179	0.7019748653500898				
deepseek-8b	correct-full	magentic	val	crr	1	mean	0.5403949730700179	0.7001795332136446	0-8	0.1	1	sigmoid
deepseek-8b	correct-full	magentic	val	svd	2	mean	0.5565529622980251	0.7055655296229802				
deepseek-8b	correct-full	magentic	val	crr	2	mean	0.5547576301615799	0.6894075403949731	8-16	0.2	4	inverse
deepseek-8b	correct-full	magentic	val	svd	3	mean	0.5314183123877917	0.7163375224416517				
deepseek-8b	correct-full	magentic	val	crr	3	mean	0.5350089766606823	0.7091561938958707	0-8	0.2	1	sigmoid
deepseek-8b	correct-full	magentic	test	svd	1	mean	0.5493716337522442	0.7073608617594255				
deepseek-8b	correct-full	magentic	test	crr	1	mean	0.5529622980251346	0.7091561938958707	0-8	0.1	2	sigmoid
deepseek-8b	correct-full	magentic	test	svd	2	mean	0.5745062836624776	0.7073608617594255				
deepseek-8b	correct-full	magentic	test	crr	2	mean	0.585278276481149	0.7127468581687613	0-8	0.1	1	sigmoid
deepseek-8b	correct-full	magentic	test	svd	3	mean	0.5601436265709157	0.7235188509874326				
deepseek-8b	correct-full	magentic	test	crr	3	mean	0.5601436265709157	0.7235188509874326	0-8	0.0	1	negate
deepseek-8b	ww	algorithm-generated	val	svd	1	mean	0.2857142857142857	0.4761904761904761				
deepseek-8b	ww	algorithm-generated	val	crr	1	mean	0.3333333333333333	0.5238095238095238	0-8	0.1	4	sigmoid
deepseek-8b	ww	algorithm-generated	val	svd	2	mean	0.3015873015873015	0.4444444444444444				
deepseek-8b	ww	algorithm-generated	val	crr	2	last	0.2063492063492063	0.4444444444444444	24-32	0.4	2	negate
deepseek-8b	ww	algorithm-generated	val	svd	3	mean	0.2539682539682539	0.4285714285714285				
deepseek-8b	ww	algorithm-generated	val	crr	3	mean	0.3015873015873015	0.4444444444444444	8-16	0.3	1	negate
deepseek-8b	ww	algorithm-generated	test	svd	1	mean	0.3968253968253968	0.6507936507936508				
deepseek-8b	ww	algorithm-generated	test	crr	1	mean	0.3968253968253968	0.6666666666666666	0-8	0.1	1	inverse
