model	subset	seed	traj_idx	n_steps	step_idx	role	base	final	rank	is_gold
qwen3.5-9b	magentic	15	30	13	0	Orchestrator	0.0007238532416522503	0.001371114980429411	4	False
qwen3.5-9b	magentic	15	30	13	1	Orchestrator	0.000611704948823899	0.0012244509998708963	6	False
qwen3.5-9b	magentic	15	30	13	2	Coder	0.0005471351905725896	0.001088735880330205	9	False
qwen3.5-9b	magentic	15	30	13	3	Orchestrator	0.0007547141867689788	0.0014385124668478966	2	False
qwen3.5-9b	magentic	15	30	13	4	Coder	0.0005024722777307034	0.001052088220603764	11	False
qwen3.5-9b	magentic	15	30	13	5	Coder	0.0005177886923775077	0.0010965783149003983	8	False
qwen3.5-9b	magentic	15	30	13	6	Orchestrator	0.0006979070603847504	0.0014428298454731703	1	True
qwen3.5-9b	magentic	15	30	13	7	Coder	0.0004818397283088416	0.001039433409459889	12	False
qwen3.5-9b	magentic	15	30	13	8	Coder	0.0005575937102548778	0.0011449232697486877	7	False
qwen3.5-9b	magentic	15	30	13	9	Orchestrator	0.0008908127201721072	0.001412591664120555	3	False
qwen3.5-9b	magentic	15	30	13	10	Coder	0.0005217790021561086	0.0010810301173478365	10	False
qwen3.5-9b	magentic	15	30	13	11	Coder	0.0005592511151917279	0.0012739537050947547	5	False
qwen3.5-9b	magentic	15	30	13	12	Coder	0.0007147025899030268	0.0007147025899030268	13	False
