Backbone	Method	WW-AG	WW-HC	CE	TE-Cap	TE-Mag
Qwen3.5-9B	All-at-Once	56.61	48.28	81.40	62.79	62.32
Qwen3.5-9B	Step-by-Step	19.05	47.13	35.85	51.16	65.94
Qwen3.5-9B	Binary Search	38.10	62.07	70.70	22.48	59.42
Qwen3.5-9B	CORRECT	59.79	47.13	78.60	62.02	74.64
Qwen3.5-9B	CHIEF	50.26	54.02	74.81	65.12	74.64
Qwen3.5-9B	RAFFLES	60.85	60.92	77.27	65.89	68.84
DeepSeek-R1-Distill-Llama-8B	All-at-Once	42.33	45.98	38.04	54.26	63.04
DeepSeek-R1-Distill-Llama-8B	Step-by-Step	44.97	37.93	15.23	33.33	38.41
DeepSeek-R1-Distill-Llama-8B	Binary Search	28.57	48.28	53.37	44.96	69.57
DeepSeek-R1-Distill-Llama-8B	CORRECT	44.97	32.18	58.67	38.76	60.87
DeepSeek-R1-Distill-Llama-8B	CHIEF	37.04	52.87	56.71	51.16	63.77
DeepSeek-R1-Distill-Llama-8B	RAFFLES	38.10	51.72	41.01	54.26	65.94
