Backbone	Method	WW-AG	WW-HC	CE	TE-Cap	TE-Mag
GPT-4o	All-at-Once	14.81 ± 2.70	6.90 ± 0.00	28.39 ± 0.36	16.28 ± 3.29	5.80 ± 2.05
GPT-4o	Step-by-Step	20.63 ± 1.30	13.79 ± 5.63	44.47 ± 1.25	13.95 ± 6.85	13.04 ± 3.55
GPT-4o	Binary Search	22.22 ± 3.43	4.60 ± 1.63	9.70 ± 0.82	9.30 ± 1.90	6.52 ± 0.00
GPT-4o	CORRECT	15.34 ± 0.75	4.60 ± 1.63	35.12 ± 1.93	10.85 ± 4.78	13.77 ± 2.71
GPT-4o	CHIEF	25.93 ± 3.96	14.94 ± 1.63	38.56 ± 0.86	13.95 ± 1.90	8.70 ± 3.07
GPT-4o	RAFFLES	42.86 ± 3.43	25.29 ± 6.50	64.22 ± 0.64	24.81 ± 1.10	17.39 ± 3.07
GPT-4o	ErrorProbe	38.62 ± 1.98	21.84 ± 3.25	59.52 ± 1.49	27.13 ± 2.19	28.26 ± 3.07
GPT-5	All-at-Once	18.52 ± 0.75	4.60 ± 1.63	64.15 ± 1.29	10.85 ± 3.95	10.87 ± 1.77
GPT-5	Step-by-Step	24.34 ± 0.75	18.39 ± 1.63	64.38 ± 0.57	17.83 ± 1.10	6.52 ± 0.00
GPT-5	Binary Search	41.80 ± 0.75	21.84 ± 1.63	75.71 ± 0.72	24.03 ± 2.90	20.29 ± 1.02
GPT-5	CORRECT	24.87 ± 4.55	13.79 ± 2.82	35.20 ± 0.52	20.93 ± 0.00	23.91 ± 3.07
GPT-5	CHIEF	27.51 ± 1.98	25.29 ± 5.86		22.48 ± 3.95	16.67 ± 4.47
GPT-5	RAFFLES	39.68 ± 2.59	35.63 ± 3.25		33.33 ± 5.80	33.33 ± 1.02
GPT-5	ErrorProbe	49.21 ± 1.30	16.09 ± 7.09		26.36 ± 1.10	20.29 ± 3.69
Qwen3.5-9B	All-at-Once	17.46 ± 2.59	11.49 ± 4.30	33.47 ± 0.53	4.65 ± 1.90	1.45 ± 2.05
Qwen3.5-9B	Step-by-Step	10.58 ± 1.50	16.09 ± 1.63	31.15 ± 2.46	14.73 ± 2.90	10.87 ± 4.70
Qwen3.5-9B	Binary Search	2.65 ± 0.75	13.79 ± 5.63	59.92 ± 0.88	0.78 ± 1.10	5.07 ± 3.69
Qwen3.5-9B	CORRECT	29.10 ± 2.99	3.45 ± 0.00	36.35 ± 0.46	7.75 ± 1.10	2.90 ± 2.71
Qwen3.5-9B	CHIEF	28.57 ± 2.24	3.45 ± 0.00	29.39 ± 0.65	3.88 ± 1.10	2.17 ± 1.77
Qwen3.5-9B	RAFFLES	46.03 ± 2.59	27.59 ± 2.82	73.14 ± 0.85	29.46 ± 1.10	23.91 ± 3.07
Qwen3.5-9B	ErrorProbe	39.68 ± 2.24	21.84 ± 5.86	55.03 ± 1.21	23.26 ± 3.80	20.29 ± 2.71
Qwen3.5-9B	StepFinder	15.87 ± 0.78	13.33 ± 3.39	30.03 ± 1.07	18.29 ± 3.90	6.67 ± 0.54
Qwen3.5-9B	OAT	16.72 ± 0.79	10.11 ± 6.33	56.50 ± 0.82	15.35 ± 1.52	18.84 ± 2.76
Qwen3.5-9B	SOAP (w/o rescoring)	39.15 ± 4.55	33.33 ± 4.30	61.38 ± 0.79	33.33 ± 1.10	21.01 ± 1.02
Qwen3.5-9B	SOAP	47.62 ± 2.59	34.48 ± 2.82	61.78 ± 0.73	35.66 ± 1.10	23.19 ± 4.47
DeepSeek-R1-Distill-Llama-8B	All-at-Once	7.41 ± 3.26	5.75 ± 1.63	21.95 ± 0.85	4.65 ± 1.90	2.90 ± 1.02
DeepSeek-R1-Distill-Llama-8B	Step-by-Step	16.93 ± 1.98	9.20 ± 1.63	9.04 ± 1.74	11.63 ± 1.90	4.35 ± 1.77
DeepSeek-R1-Distill-Llama-8B	Binary Search	7.94 ± 1.30	12.64 ± 3.25	34.15 ± 0.94	10.08 ± 5.80	13.77 ± 2.71
DeepSeek-R1-Distill-Llama-8B	CORRECT	20.11 ± 1.98	11.49 ± 3.25	32.82 ± 1.12	3.88 ± 1.10	0.72 ± 1.02
DeepSeek-R1-Distill-Llama-8B	CHIEF	17.46 ± 3.43	2.30 ± 1.63	8.40 ± 0.42	7.75 ± 1.10	9.42 ± 2.71
DeepSeek-R1-Distill-Llama-8B	RAFFLES	28.04 ± 1.98	8.05 ± 3.25	41.60 ± 0.71	20.16 ± 2.90	10.87 ± 3.55
DeepSeek-R1-Distill-Llama-8B	ErrorProbe	24.34 ± 1.98	10.34 ± 2.82	35.97 ± 0.41	17.05 ± 2.90	8.70 ± 1.77
DeepSeek-R1-Distill-Llama-8B	StepFinder	18.94 ± 2.84	10.80 ± 3.10	36.91 ± 0.22	14.73 ± 0.79	4.20 ± 1.08
DeepSeek-R1-Distill-Llama-8B	OAT	12.70 ± 2.99	15.86 ± 8.29	52.50 ± 1.13	17.98 ± 0.22	13.04 ± 1.98
DeepSeek-R1-Distill-Llama-8B	SOAP (w/o rescoring)	38.62 ± 3.26	28.74 ± 4.30	64.19 ± 0.25	40.31 ± 4.39	29.71 ± 1.02
DeepSeek-R1-Distill-Llama-8B	SOAP	45.50 ± 2.70	28.74 ± 4.30	64.68 ± 0.42	42.64 ± 4.39	30.43 ± 3.07
