Backbone	Method	WW-AG	WW-HC	CE	TE-Cap	TE-Mag
Qwen3.5-9B	All-at-Once	17.46	11.49	33.47	4.65	1.45
Qwen3.5-9B	Step-by-Step	10.58	16.09	31.15	14.73	10.87
Qwen3.5-9B	Binary Search	2.65	13.79	59.92	0.78	5.07
Qwen3.5-9B	CORRECT	29.10	3.45	36.35	7.75	2.90
Qwen3.5-9B	CHIEF	28.57	3.45	29.39	3.88	2.17
Qwen3.5-9B	RAFFLES	46.03	27.59	73.14	29.46	23.91
DeepSeek-R1-Distill-Llama-8B	All-at-Once	7.41	5.75	21.95	4.65	2.90
DeepSeek-R1-Distill-Llama-8B	Step-by-Step	16.93	9.20	9.04	11.63	4.35
DeepSeek-R1-Distill-Llama-8B	Binary Search	7.94	12.64	34.15	10.08	13.77
DeepSeek-R1-Distill-Llama-8B	CORRECT	20.11	11.49	32.82	3.88	0.72
DeepSeek-R1-Distill-Llama-8B	CHIEF	17.46	2.30	8.40	7.75	9.42
DeepSeek-R1-Distill-Llama-8B	RAFFLES	28.04	8.05	35.84	20.16	10.87
