Method	Actual data	Supervised	WW-AG	WW-HC	CE	TE-Cap	TE-Mag
Backbone: GPT-4o							
Prompt-based methods							
All-at-Once			15.87	3.45	24.50	9.30	6.52
Step-by-Step			22.75	18.39	59.29	18.60	19.57
Binary Search			28.57	4.60	18.44	9.30	6.52
CORRECT	cmark	cmark	15.87	4.60	37.09	10.85	10.14
RAFFLES							
CHIEF			24.34	11.49	42.10	14.73	13.77
Backbone: Qwen3.5-9B							
Trained LLM attributors							
AgenTracer	xmark	cmark					
GraphTracer	xmark	cmark					
Representation-based methods							
StepFinder	xmark	xmark					
OAT	xmark	xmark					
SOAP (w/o rescoring)	cmark	xmark	41.27	33.33	60.30	32.56	15.94
SOAP	cmark	xmark	43.39	34.48	60.59	36.43	21.01
Backbone: DeepSeek-R1-Distill-Llama-8B							
Trained LLM attributors							
AgenTracer	xmark	cmark					
GraphTracer	xmark	cmark					
Representation-based methods							
StepFinder	xmark	xmark					
OAT	xmark	xmark					
SOAP (w/o rescoring)	cmark	xmark	40.21	29.89	64.81	41.09	35.51
SOAP	cmark	xmark	44.97	29.89	65.19	42.64	36.96
