pick_rank	seed	split	manuscript_window	relaxed	traj_idx	n_steps	true_step	true_agent	base_pred_step	base_pred_agent	soap_pred_step	soap_pred_agent	offset	gold_base_rank	gold_final_rank	soap_margin
1	2	test	True	False	95	10	5	AcademicPublication_Expert	7	Verification_Expert	5	AcademicPublication_Expert	2	2	1	0.017461653798818588
2	3	test	True	False	95	10	5	AcademicPublication_Expert	7	Verification_Expert	5	AcademicPublication_Expert	2	2	1	0.012865722179412842
3	2	test	True	False	110	9	5	Verification_Expert	6	DataCollection_Expert	5	Verification_Expert	1	3	1	0.005929026752710342
4	3	test	True	False	110	9	5	Verification_Expert	6	DataCollection_Expert	5	Verification_Expert	1	2	1	0.004943486303091049
5	4	test	True	False	32	10	1	SpeciesSightingsData_Expert	3	DataVerification_Expert	1	SpeciesSightingsData_Expert	2	3	1	0.005609024316072464
6	4	test	True	False	102	10	1	Filmography_Expert	2	StreamingAvailability_Expert	1	Filmography_Expert	1	4	1	0.011331722140312195
7	3	test	True	False	88	10	0	FinancialData_Expert	9	Computer_terminal	0	FinancialData_Expert	9	2	1	0.005452824756503105
8	2	test	True	False	88	10	0	FinancialData_Expert	9	Computer_terminal	0	FinancialData_Expert	9	2	1	0.0019587744027376175
9	2	test	True	False	119	8	0	Geometry_Expert	6	LocalHistorian_Expert	0	Geometry_Expert	6	3	1	0.0008769221603870392
10	3	test	True	False	114	7	1	Verification_Expert	5	RealEstateMarket_Expert	1	Verification_Expert	4	3	1	0.00302739255130291
11	4	test	True	False	114	7	1	Verification_Expert	5	RealEstateMarket_Expert	1	Verification_Expert	4	2	1	0.0037503521889448166
12	2	test	True	False	65	6	1	VideoContentAnalysis_Expert	4	VideoContentAnalysis_Expert	1	VideoContentAnalysis_Expert	3	3	1	0.00022432580590248108
13	2	test	True	False	58	6	1	Verification_Expert	3	Python_ScikitLearn_StatisticalAnalysis_Expert	1	Verification_Expert	2	2	1	0.019793953746557236
