traj_idx	step_idx	n_tokens	mean_nll
0	0	259	3.6603334640444016
0	1	166	3.2213987787085845
0	2	311	2.8569424252034765
0	3	78	3.1215438842773438
0	4	234	1.9234410473424146
0	5	59	2.8842825162208685
0	6	244	1.697327410588499
0	7	51	2.243189493815104
0	8	229	1.620253117323963
0	9	54	1.6014155635127314
0	10	240	1.7439144134521485
0	11	67	1.9610267753031716
0	12	248	2.203434113533266
0	13	65	2.1117969219501203
0	14	232	1.1431242844154095
0	15	65	1.7339526836688701
0	16	242	1.6209805070861312
0	17	89	1.7798974540796173
0	18	204	1.535855162377451
0	19	59	1.995598227290784
0	20	266	2.346975685062265
0	21	58	1.5733267685462689
0	22	211	1.3177091047097156
0	23	47	1.7803325247257313
0	24	246	1.7039370653105945
0	25	288	1.9169705708821614
0	26	304	3.0669816669664884
0	27	302	2.073005726795323
0	28	66	1.5489698467832622
0	29	243	1.4025605127154064
0	30	73	2.3413478903574485
0	31	286	2.0256808621066433
0	32	58	2.334936207738416
0	33	262	1.6718628861521947
0	34	71	1.329738885584012
0	35	240	1.3368370056152343
0	36	65	1.1971314650315505
0	37	237	1.7089550163172469
0	38	61	0.9315854056936795
0	39	275	2.2138871626420453
0	40	312	0.9425130990835336
0	41	367	2.877301707254768
0	42	343	1.8616655088374636
0	43	66	0.82249167471221
0	44	210	1.2303577241443453
0	45	62	1.5991394289078251
0	46	140	2.1452789306640625
1	0	263	3.5104455984137357
1	1	121	2.6445761436273245
1	2	252	2.2770812019469244
1	3	63	2.7626517159598216
1	4	285	2.1057263826069077
1	5	104	1.2929292825552134
1	6	214	1.538931588146174
1	7	68	0.9884127448586857
1	8	229	1.9518780437619405
1	9	69	1.7436760059301404
1	10	208	1.6725161625788763
1	11	53	1.4470731627266362
1	12	201	1.379530721635961
1	13	50	1.3562400817871094
1	14	206	1.4763607284397755
1	15	52	1.3756462977482722
1	16	252	1.5651647174169148
1	17	95	2.1042136744449014
1	18	167	1.2865925863117516
1	19	80	0.9558212280273437
2	0	245	3.7658384984853317
2	1	149	2.972266690042995
2	2	259	2.538628184197032
2	3	49	3.473781663544324
2	4	242	1.6656158699477015
2	5	79	2.2144559063488924
2	6	239	1.9447096820655727
2	7	64	2.168349266052246
2	8	263	1.9593712404200332
2	9	104	1.927842066838191
2	10	231	1.5283851788673566
2	11	95	1.3957898591694078
2	12	253	2.07815515570961
2	13	51	2.150739781996783
2	14	244	1.5402292970751152
2	15	136	1.310533747953527
2	16	275	1.2946570933948864
2	17	106	1.003191462102926
2	18	218	1.343643608443234
2	19	64	1.69111168384552
2	20	243	1.6353003733442644
2	21	47	2.4230622636510972
