model	subset	seed	split	traj_idx	n_steps	step_idx	role	base	oriented	normalized	final	base_rank	final_rank	is_gold	is_base_pred	is_soap_pred
qwen3.5-9b	algorithm-generated	17	test	77	10	0	YouTubeDownload_Expert	48.34051513671875	0.02068658173084259	0.02068658173084259	0.029379267245531082	3	1	True	False	True
qwen3.5-9b	algorithm-generated	17	test	77	10	1	Computer_terminal	133.95379638671875	0.007465260569006205	0.007465260569006205	0.007465260569006205	9	9	False	False	False
qwen3.5-9b	algorithm-generated	17	test	77	10	2	YouTubeDownload_Expert	46.66952133178711	0.02142726071178913	0.02142726071178913	0.02142726071178913	2	4	False	False	False
qwen3.5-9b	algorithm-generated	17	test	77	10	3	Computer_terminal	46.50832748413086	0.02150152623653412	0.02150152623653412	0.02150152623653412	1	3	False	True	False
qwen3.5-9b	algorithm-generated	17	test	77	10	4	VideoProcessing_Expert	85.92149353027344	0.01163853146135807	0.01163853146135807	0.01163853146135807	5	6	False	False	False
qwen3.5-9b	algorithm-generated	17	test	77	10	5	Computer_terminal	129.00613403320312	0.007751569617539644	0.007751569617539644	0.007751569617539644	8	8	False	False	False
qwen3.5-9b	algorithm-generated	17	test	77	10	6	ResultVerification_Expert	58.33390426635742	0.01714268885552883	0.01714268885552883	0.02285819686949253	4	2	False	False	False
qwen3.5-9b	algorithm-generated	17	test	77	10	7	Computer_terminal	113.48055267333984	0.008812082931399345	0.008812082931399345	0.012454424053430557	7	5	False	False	False
qwen3.5-9b	algorithm-generated	17	test	77	10	8	VideoProcessing_Expert	97.65996551513672	0.010239610448479652	0.010239610448479652	0.010239610448479652	6	7	False	False	False
qwen3.5-9b	algorithm-generated	17	test	77	10	9	Computer_terminal	164.72921752929688	0.0060705686919391155	0.0060705686919391155	0.0060705686919391155	10	10	False	False	False
