position	pooling	method	c_begin	c_end	centered	weighted	direction	k	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
act/31_normed	last	proj	0	3	False	False	asc	1	0.4829443447037702	0.6624775583482945	0.48114901256732495	0.6678635547576302
act/31_normed	last	proj	0	4	False	False	asc	1	0.49371633752244165	0.6983842010771992	0.4793536804308797	0.6732495511669659
act/31_normed	last	proj	0	6	False	False	asc	1	0.5044883303411131	0.7073608617594255	0.4793536804308797	0.6750448833034112
act/27	last	proj	0	2	True	False	asc	1	0.4865350089766607	0.6786355475763016	0.4757630161579892	0.6768402154398564
act/31_normed	last	proj	0	5	False	False	asc	1	0.4991023339317774	0.7091561938958707	0.4757630161579892	0.6768402154398564
act/31_normed	last	proj	0	4	True	True	asc	1	0.4506283662477558	0.7109515260323159	0.4703770197486535	0.7091561938958707
act/27	last	proj	0	4	True	True	asc	1	0.4757630161579892	0.7199281867145422	0.4703770197486535	0.703770197486535
act/23	last	proj	0	4	True	False	asc	1	0.4614003590664273	0.7217235188509874	0.46858168761220825	0.7127468581687613
act/31_normed	last	proj	0	19	False	False	asc	1	0.49012567324955114	0.7145421903052065	0.466786355475763	0.7001795332136446
act/31_normed	last	proj	0	13	False	False	asc	1	0.4865350089766607	0.7127468581687613	0.466786355475763	0.6983842010771992
act/27	last	proj	0	3	True	True	asc	1	0.47217235188509876	0.7055655296229802	0.466786355475763	0.6858168761220825
act/27	last	proj	0	4	True	False	asc	1	0.46858168761220825	0.7199281867145422	0.466786355475763	0.7055655296229802
act/31_normed	last	proj	0	3	True	False	asc	1	0.46858168761220825	0.7145421903052065	0.466786355475763	0.7091561938958707
act/27	last	proj	0	2	True	True	asc	1	0.4829443447037702	0.6858168761220825	0.466786355475763	0.6606822262118492
act/31_normed	last	proj	0	20	False	False	asc	1	0.49730700179533216	0.7109515260323159	0.4649910233393178	0.7001795332136446
act/31_normed	last	proj	0	18	False	False	asc	1	0.4919210053859964	0.7145421903052065	0.4631956912028725	0.7001795332136446
act/31_normed	last	proj	0	17	False	False	asc	1	0.49371633752244165	0.7127468581687613	0.4631956912028725	0.696588868940754
act/31_normed	last	proj	0	4	True	False	asc	1	0.4614003590664273	0.7109515260323159	0.4631956912028725	0.703770197486535
act/23	last	proj	0	4	True	True	asc	1	0.4703770197486535	0.7145421903052065	0.4631956912028725	0.7001795332136446
act/31_normed	last	proj	0	12	False	False	asc	1	0.4865350089766607	0.7127468581687613	0.4631956912028725	0.6947935368043088
act/23	last	proj	0	5	True	True	asc	1	0.47755834829443444	0.7055655296229802	0.4631956912028725	0.6929982046678635
act/27	last	proj	0	3	True	False	asc	1	0.47755834829443444	0.7019748653500898	0.4631956912028725	0.6912028725314183
act/31_normed	last	proj	0	16	False	False	asc	1	0.4919210053859964	0.7145421903052065	0.4631956912028725	0.7001795332136446
act/31_normed	last	proj	0	15	False	False	asc	1	0.49371633752244165	0.7127468581687613	0.4614003590664273	0.696588868940754
act/31_normed	last	proj	1	3	False	False	asc	1	0.4111310592459605	0.651705565529623	0.4614003590664273	0.6606822262118492
act/31_normed	last	proj	0	5	True	True	asc	1	0.44703770197486536	0.7109515260323159	0.4614003590664273	0.7109515260323159
act/31_normed	last	proj	1	5	False	False	asc	1	0.4488330341113106	0.703770197486535	0.45960502692998206	0.6858168761220825
