seed	pooling	sel_by	source	position	method	c_begin	c_end	centered	weighted	undisc_step_acc_val	undisc_agent_acc_val	undisc_step_acc_test	undisc_agent_acc_test	svd_orient	layer_range	gamma	w	disc_step_acc_val	disc_agent_acc_val	disc_step_acc_test	disc_agent_acc_test	diff_step_acc_val	diff_agent_acc_val	diff_step_acc_test	diff_agent_acc_test
1	last	test	correct-full/magentic	act/5	proj	1	8	True	False	0.2539682539682539	0.4285714285714285	0.3492063492063492	0.5555555555555556	inverse	0-8	0.1	1	0.2698412698412698	0.4603174603174603	0.3492063492063492	0.5396825396825397	0.015873015873015928	0.0317460317460318	0.0	-0.015873015873015928
2	last	test	correct-full/magentic	act/4	proj	3	6	True	False	0.2063492063492063	0.4603174603174603	0.3809523809523809	0.5873015873015873	sigmoid	0-8	0.1	4	0.238095238095238	0.5873015873015873	0.2539682539682539	0.4761904761904761	0.03174603174603169	0.12698412698412703	-0.12698412698412698	-0.11111111111111122
3	last	test	correct-full/magentic	act/4	proj	0	6	True	False	0.2539682539682539	0.4603174603174603	0.3968253968253968	0.6031746031746031	negate	0-8	0.3	5	0.3333333333333333	0.5396825396825397	0.365079365079365	0.5396825396825397	0.07936507936507942	0.07936507936507936	-0.0317460317460318	-0.06349206349206349
1	mean	test	correct-full/magentic	act/6	proj	6	11	True	False	0.2539682539682539	0.492063492063492	0.3968253968253968	0.6507936507936508	negate	24-32	0.3	1	0.3015873015873015	0.5238095238095238	0.365079365079365	0.5873015873015873	0.047619047619047616	0.031746031746031855	-0.0317460317460318	-0.06349206349206349
2	mean	test	correct-full/magentic	act/26	proj	7	10	True	False	0.2222222222222222	0.4444444444444444	0.4126984126984127	0.5873015873015873	negate	0-8	0.5	3	0.3015873015873015	0.5396825396825397	0.3333333333333333	0.4761904761904761	0.0793650793650793	0.09523809523809523	-0.07936507936507936	-0.11111111111111122
3	mean	test	correct-full/magentic	act/1	proj	10	20	False	False	0.2222222222222222	0.3968253968253968	0.4444444444444444	0.5873015873015873	negate	8-16	0.9	2	0.2539682539682539	0.4126984126984127	0.238095238095238	0.492063492063492	0.03174603174603169	0.015873015873015872	-0.20634920634920642	-0.09523809523809534
1	last	val	correct-full/magentic	act/28	proj	6	10	False	False	0.3333333333333333	0.5714285714285714	0.238095238095238	0.4444444444444444	sigmoid	0-8	0.2	4	0.3333333333333333	0.5873015873015873	0.2539682539682539	0.4603174603174603	0.0	0.015873015873015928	0.0158730158730159	0.015873015873015872
2	last	val	correct-full/magentic	act/5	proj	15	17	True	False	0.365079365079365	0.6190476190476191	0.2698412698412698	0.5238095238095238	negate	24-32	0.4	2	0.4285714285714285	0.6666666666666666	0.2063492063492063	0.4444444444444444	0.06349206349206349	0.04761904761904756	-0.06349206349206352	-0.07936507936507942
3	last	val	correct-full/magentic	act/7	proj	8	10	False	False	0.3333333333333333	0.5555555555555556	0.2222222222222222	0.4444444444444444	inverse	0-8	0.2	1	0.3492063492063492	0.5714285714285714	0.2222222222222222	0.4285714285714285	0.015873015873015872	0.015873015873015817	0.0	-0.015873015873015928
1	mean	val	correct-full/magentic	act/8	norm_l2	0	0	False	False	0.4444444444444444	0.5714285714285714	0.2857142857142857	0.4761904761904761	sigmoid	0-8	0.1	4	0.4444444444444444	0.5873015873015873	0.3333333333333333	0.5238095238095238	0.0	0.015873015873015928	0.047619047619047616	0.04761904761904773
2	mean	val	correct-full/magentic	act/14	norm_l2	0	0	False	False	0.4126984126984127	0.6190476190476191	0.3015873015873015	0.4444444444444444	negate	0-8	0.0	1	0.4126984126984127	0.6190476190476191	0.3015873015873015	0.4444444444444444	0.0	0.0	0.0	0.0
3	mean	val	correct-full/magentic	act/27	proj	2	8	True	False	0.3968253968253968	0.5555555555555556	0.2539682539682539	0.4285714285714285	negate	8-16	0.3	1	0.3968253968253968	0.5873015873015873	0.3015873015873015	0.4444444444444444	0.0	0.031746031746031744	0.047619047619047616	0.015873015873015928
