strategy	position	pooling	method	c_begin	c_end	centered	weighted	threshold	seed	sel_by	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
svd	act/31_normed	last	proj	0	3	False	False		1	test	0.4829443447037702	0.6624775583482945	0.48114901256732495	0.6678635547576302
svd	act/31_normed	last	proj	0	6	False	False		2	test	0.4829443447037702	0.7145421903052065	0.5008976660682226	0.6983842010771992
svd	act/27	last	proj	0	2	True	False		3	test	0.4991023339317774	0.6624775583482945	0.4793536804308797	0.6929982046678635
svd	act/15	mean	proj	0	2	True	False		1	test	0.5763016157989228	0.725314183123878	0.5565529622980251	0.7127468581687613
svd	act/15	mean	proj	0	2	True	False		2	test	0.5511669658886894	0.7073608617594255	0.5637342908438061	0.7091561938958707
svd	act/15	mean	proj	0	2	True	False		3	test	0.5637342908438061	0.718132854578097	0.5601436265709157	0.7235188509874326
svd	act/31_normed	last	proj	0	6	False	False		1	val	0.5044883303411131	0.7073608617594255	0.4793536804308797	0.6750448833034112
svd	act/31_normed	last	proj	0	5	False	False		2	val	0.48473967684021546	0.7235188509874326	0.49730700179533216	0.696588868940754
svd	act/31_normed	last	proj	0	4	False	False		3	val	0.5098743267504489	0.7235188509874326	0.45960502692998206	0.7145421903052065
svd	act/15	mean	proj	0	2	True	False		1	val	0.5763016157989228	0.725314183123878	0.5565529622980251	0.7127468581687613
svd	act/15	mean	proj	0	2	True	False		2	val	0.5511669658886894	0.7073608617594255	0.5637342908438061	0.7091561938958707
svd	act/15	mean	proj	0	2	True	False		3	val	0.5637342908438061	0.718132854578097	0.5601436265709157	0.7235188509874326
