dataset	model	subset	triple	n_error	n_ordinary	within_traj_auc	pooled_auc_raw	seed_spread_raw	pooled_auc_znorm	seed_spread_znorm	position	band	step_acc	verified
correct-error	qwen3.5-9b	arc	6,7,8	456	1827	0.9306292403499916	0.9046442735190466	0.012788185451219736	0.806988736208337	0.03811570251675689	act/3	[0,2)	0.8158	True
correct-error	qwen3.5-9b	arc	16,17,18	456	1831	0.9301098296841329	0.8925043356616555	0.003367639973073433	0.7966754338057049	0.023755595536421925	act/3	[0,3)	0.8224	True
correct-error	qwen3.5-9b	arc	11,12,13	456	1961	0.8988503039230187	0.723858105871512	0.21073541297642784	0.7722071624752856	0.03959675214667868	act/19	[1,3)	0.7961	True
correct-error	qwen3.5-9b	arc	1,2,3	456	2005	0.9157206463127515	0.6695290283064269	0.02541283965402763	0.7150714223213894	0.015924827461581303	embed	[1,3)	0.8026	True
correct-error	qwen3.5-9b	arc	15,16,17	456	1947	0.914214650226749	0.6676285603582659	0.14355847958942136	0.7839084421377017	0.03722234189071871	act/3	[1,3)	0.7982	True
correct-error	qwen3.5-9b	arc	18,19,20	456	1777	0.9213939987842139	0.6514138998311761	0.03316594766629477	0.7512723494160274	0.07632968123541906	embed	[1,3)	0.8377	True
correct-error	qwen3.5-9b	arc	2,3,4	456	2021	0.9018817679146423	0.6480746026372215	0.0824158190974622	0.7248148823320052	0.042150468736283475	embed	[1,3)	0.7895	True
correct-error	qwen3.5-9b	arc	17,18,19	456	1853	0.9106292396641915	0.6447202734304731	0.03316594766629477	0.7401416384999195	0.05419016444541036	embed	[1,3)	0.8136	True
correct-error	qwen3.5-9b	arc	8,9,10	456	1830	0.9194730746323543	0.6434570031636468	0.09427595393371357	0.7634802511743841	0.05484572655174669	embed	[1,3)	0.8246	True
correct-error	qwen3.5-9b	arc	13,14,15	456	1989	0.9123487296790621	0.6412020498707804	0.021927401182328055	0.7376794959999294	0.09788224765950748	embed	[1,3)	0.807	True
correct-error	qwen3.5-9b	arc	14,15,16	456	1976	0.9151429210985997	0.6408558402585411	0.019410430535186096	0.7424455305774558	0.0878907706044244	embed	[1,3)	0.8092	True
correct-error	qwen3.5-9b	arc	12,13,14	456	1974	0.9117346796017156	0.6395915542402104	0.02691454841231522	0.7177323850406157	0.06568336162988109	embed	[1,3)	0.807	True
correct-error	qwen3.5-9b	arc	5,6,7	456	1893	0.9153749791418847	0.6246200220572562	0.0649717517589824	0.6583801354945737	0.03278312893249968	act/31_normed	[1,2)	0.8048	True
correct-error	qwen3.5-9b	arc	4,5,6	456	2007	0.9062856390632584	0.6194241208402171	0.07663114880925626	0.6491719770277713	0.033841281005499435	act/31_normed	[1,2)	0.7939	True
correct-error	qwen3.5-9b	arc	3,4,5	456	1984	0.898857116365671	0.616882427843803	0.0661561359708085	0.7416055417020373	0.04448946020914313	embed	[1,3)	0.7961	True
correct-error	qwen3.5-9b	arc	7,8,9	456	1829	0.9175740137824625	0.6135309055854508	0.09820747283751563	0.801551274303857	0.026145787405218	act/3	[1,3)	0.8136	True
correct-error	qwen3.5-9b	arc	10,11,12	456	1845	0.9060376636034531	0.6059781058336899	0.17315164665955596	0.7841570389388104	0.04386919191752159	act/3	[1,3)	0.807	True
correct-error	qwen3.5-9b	arc	9,10,11	456	1851	0.9099066446019354	0.5895692939804942	0.17315164665955596	0.7939248106760689	0.01659490998667279	act/3	[1,3)	0.818	True
