model	subset	row	seeds	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
qwen3.5-9b	arc	svd	17,18,19	embed	1	3			0.0		0.8135964912280702	0.8640350877192983	0.8032786885245901	0.8743169398907104
qwen3.5-9b	arc	backprop	17,18,19	embed	1	3	backprop	0-2	0.1	1	0.8179824561403509	0.8640350877192983	0.8087431693989071	0.8633879781420766
qwen3.5-9b	arc	succ-strong	17,18,19	embed	1	3	succ-strong	6-8	0.0	all	0.8135964912280702	0.8640350877192983	0.8032786885245901	0.8743169398907104
qwen3.5-9b	arc	succ-near	17,18,19	embed	1	3	succ-near	6-8	0.1	1	0.8157894736842106	0.8640350877192983	0.8087431693989071	0.8633879781420766
qwen3.5-9b	gaia	svd	17,18,19	act/27	1	7			0.0		0.68	0.8266666666666668	0.3666666666666667	0.5666666666666667
qwen3.5-9b	gaia	backprop	17,18,19	act/27	1	7	backprop	6-8	0.1	5	0.68	0.8400000000000002	0.39999999999999997	0.6
qwen3.5-9b	gaia	succ-strong	17,18,19	act/27	1	7	succ-strong	6-8	0.0	all	0.68	0.8266666666666668	0.3666666666666667	0.5666666666666667
qwen3.5-9b	gaia	succ-near	17,18,19	act/27	1	7	succ-near	6-8	0.0	all	0.68	0.8266666666666668	0.3666666666666667	0.5666666666666667
qwen3.5-9b	hotpot	svd	17,18,19	act/3	1	3			0.0		0.4521337946943483	0.7012687427912342	0.4798850574712643	0.7327586206896551
qwen3.5-9b	hotpot	backprop	17,18,19	act/3	1	3	backprop	6-8	0.0	all	0.4521337946943483	0.7012687427912342	0.4798850574712643	0.7327586206896551
qwen3.5-9b	hotpot	succ-strong	17,18,19	act/3	1	3	succ-strong	6-8	0.0	all	0.4521337946943483	0.7012687427912342	0.4798850574712643	0.7327586206896551
qwen3.5-9b	hotpot	succ-near	17,18,19	act/3	1	3	succ-near	6-8	0.0	all	0.4521337946943483	0.7012687427912342	0.4798850574712643	0.7327586206896551
