model	subset	seed	traj_idx	n_steps	step_idx	role	base	final	rank	is_gold
qwen3.5-9b	magentic	15	61	47	0	Orchestrator	0.0007410101243294775	0.0013530083233490586	3	False
qwen3.5-9b	magentic	15	61	47	1	Orchestrator	0.0006335368962027133	0.0012327851727604866	9	False
qwen3.5-9b	magentic	15	61	47	2	Orchestrator	0.0006261574453674257	0.0011806765105575323	12	False
qwen3.5-9b	magentic	15	61	47	3	WebSurfer	0.0007570147281512618	0.0014018360525369644	2	False
qwen3.5-9b	magentic	15	61	47	4	WebSurfer	0.0005636618006974459	0.0011471235193312168	13	False
qwen3.5-9b	magentic	15	61	47	5	WebSurfer	0.0006416814867407084	0.0012859422713518143	6	False
qwen3.5-9b	magentic	15	61	47	6	WebSurfer	0.0005469615571200848	0.0011879436206072569	11	False
qwen3.5-9b	magentic	15	61	47	7	WebSurfer	0.0007188976742327213	0.0014076849911361933	1	True
qwen3.5-9b	magentic	15	61	47	8	WebSurfer	0.0005596926785074174	0.0011139967245981097	15	False
qwen3.5-9b	magentic	15	61	47	9	WebSurfer	0.00068761344300583	0.00068761344300583	28	False
qwen3.5-9b	magentic	15	61	47	10	WebSurfer	0.0005543040460906923	0.0012430914212018251	7	False
qwen3.5-9b	magentic	15	61	47	11	WebSurfer	0.0006887873751111329	0.0006887873751111329	27	False
qwen3.5-9b	magentic	15	61	47	12	WebSurfer	0.000545994786079973	0.000545994786079973	42	False
qwen3.5-9b	magentic	15	61	47	13	WebSurfer	0.0006221688818186522	0.0006221688818186522	36	False
qwen3.5-9b	magentic	15	61	47	14	WebSurfer	0.0005400449736043811	0.0005400449736043811	43	False
qwen3.5-9b	magentic	15	61	47	15	WebSurfer	0.000626101391389966	0.000626101391389966	35	False
qwen3.5-9b	magentic	15	61	47	16	WebSurfer	0.0005633970140479505	0.0005633970140479505	41	False
qwen3.5-9b	magentic	15	61	47	17	WebSurfer	0.0006363039137795568	0.0006363039137795568	30	False
qwen3.5-9b	magentic	15	61	47	18	WebSurfer	0.0005263802013359964	0.0005263802013359964	45	False
qwen3.5-9b	magentic	15	61	47	19	WebSurfer	0.0006145862280391157	0.001235028263181448	8	False
qwen3.5-9b	magentic	15	61	47	20	WebSurfer	0.0004999941447749734	0.001080067129805684	21	False
qwen3.5-9b	magentic	15	61	47	21	Orchestrator	0.0005490538896992803	0.0011321003548800945	14	False
qwen3.5-9b	magentic	15	61	47	22	WebSurfer	0.0006491051171906292	0.0006491051171906292	29	False
qwen3.5-9b	magentic	15	61	47	23	WebSurfer	0.0005370480939745903	0.001105584902688861	18	False
qwen3.5-9b	magentic	15	61	47	24	WebSurfer	0.0006205455283634365	0.0006205455283634365	38	False
qwen3.5-9b	magentic	15	61	47	25	WebSurfer	0.0005077121313661337	0.0005077121313661337	47	False
qwen3.5-9b	magentic	15	61	47	26	WebSurfer	0.0006294393097050488	0.0006294393097050488	33	False
qwen3.5-9b	magentic	15	61	47	27	WebSurfer	0.0005141166620887816	0.0011087337043136358	17	False
qwen3.5-9b	magentic	15	61	47	28	WebSurfer	0.0007015502778813243	0.0013311923248693347	5	False
qwen3.5-9b	magentic	15	61	47	29	WebSurfer	0.0005088227335363626	0.0010674451477825642	24	False
qwen3.5-9b	magentic	15	61	47	30	WebSurfer	0.000631490140222013	0.000631490140222013	31	False
qwen3.5-9b	magentic	15	61	47	31	WebSurfer	0.000540696841198951	0.0010759523138403893	22	False
qwen3.5-9b	magentic	15	61	47	32	WebSurfer	0.0006210483843460679	0.0006210483843460679	37	False
qwen3.5-9b	magentic	15	61	47	33	WebSurfer	0.0005204601329751313	0.0010685562156140804	23	False
qwen3.5-9b	magentic	15	61	47	34	WebSurfer	0.0006269437726587057	0.0006269437726587057	34	False
qwen3.5-9b	magentic	15	61	47	35	WebSurfer	0.0005561960279010236	0.0010947128757834435	19	False
qwen3.5-9b	magentic	15	61	47	36	WebSurfer	0.0006126174121163785	0.0006126174121163785	39	False
qwen3.5-9b	magentic	15	61	47	37	WebSurfer	0.0005385169060900807	0.001112823374569416	16	False
qwen3.5-9b	magentic	15	61	47	38	WebSurfer	0.0005904361023567617	0.0005904361023567617	40	False
qwen3.5-9b	magentic	15	61	47	39	WebSurfer	0.0005743064684793353	0.0010875767329707742	20	False
qwen3.5-9b	magentic	15	61	47	40	WebSurfer	0.0007123063551262021	0.0013430275721475482	4	False
qwen3.5-9b	magentic	15	61	47	41	WebSurfer	0.0005132702644914389	0.001045124838128686	25	False
qwen3.5-9b	magentic	15	61	47	42	WebSurfer	0.0006307212170213461	0.0006307212170213461	32	False
qwen3.5-9b	magentic	15	61	47	43	WebSurfer	0.0005318545154295862	0.0005318545154295862	44	False
qwen3.5-9b	magentic	15	61	47	44	WebSurfer	0.0005585511098615825	0.0012104262132197618	10	False
qwen3.5-9b	magentic	15	61	47	45	WebSurfer	0.0005207532085478306	0.0005207532085478306	46	False
qwen3.5-9b	magentic	15	61	47	46	MagenticOneOrchestrator	0.0008875550702214241	0.0008875550702214241	26	False
