model	subset	seed	split	traj_idx	n_steps	step_idx	role	base	oriented	normalized	final	base_rank	final_rank	is_gold	is_base_pred	is_soap_pred
qwen3.5-9b	algorithm-generated	3	test	88	10	0	FinancialData_Expert	44.810935974121094	0.0223159808665514	0.0223159808665514	0.030379606410861015	2	1	True	False	True
qwen3.5-9b	algorithm-generated	3	test	88	10	1	Computer_terminal	107.79386901855469	0.009276965633034706	0.009276965633034706	0.009276965633034706	8	8	False	False	False
qwen3.5-9b	algorithm-generated	3	test	88	10	2	DataValidation_Expert	65.7492904663086	0.015209289267659187	0.015209289267659187	0.015209289267659187	5	6	False	False	False
qwen3.5-9b	algorithm-generated	3	test	88	10	3	Computer_terminal	94.25834655761719	0.010609139688313007	0.010609139688313007	0.015593107789754868	7	4	False	False	False
qwen3.5-9b	algorithm-generated	3	test	88	10	4	Verification_Expert	58.75847625732422	0.017018821090459824	0.017018821090459824	0.017018821090459824	3	3	False	False	False
qwen3.5-9b	algorithm-generated	3	test	88	10	5	Computer_terminal	120.3860092163086	0.008306613191962242	0.008306613191962242	0.008306613191962242	9	9	False	False	False
qwen3.5-9b	algorithm-generated	3	test	88	10	6	DataValidation_Expert	64.39766693115234	0.015528513118624687	0.015528513118624687	0.015528513118624687	4	5	False	False	False
qwen3.5-9b	algorithm-generated	3	test	88	10	7	Computer_terminal	292.0986022949219	0.003423501504585147	0.003423501504585147	0.003423501504585147	10	10	False	False	False
qwen3.5-9b	algorithm-generated	3	test	88	10	8	FinancialData_Expert	86.79048919677734	0.011521999724209309	0.011521999724209309	0.011521999724209309	6	7	False	False	False
qwen3.5-9b	algorithm-generated	3	test	88	10	9	Computer_terminal	40.11749267578125	0.02492678165435791	0.02492678165435791	0.02492678165435791	1	2	False	True	False
