dataset	model	subset	triple	seed	traj_idx	step_idx	n_steps	is_mistake	score
correct-error	qwen3.5-9b	arc	1,2,3	1	197	0	4	False	0.001619134796783328
correct-error	qwen3.5-9b	arc	1,2,3	1	197	1	4	False	8.798923954600468e-05
correct-error	qwen3.5-9b	arc	1,2,3	1	197	2	4	False	0.0004632329801097512
correct-error	qwen3.5-9b	arc	1,2,3	1	197	3	4	True	0.00021656788885593414
correct-error	qwen3.5-9b	arc	1,2,3	1	210	0	3	False	0.0016676279483363032
correct-error	qwen3.5-9b	arc	1,2,3	1	210	1	3	True	0.00041514955228194594
correct-error	qwen3.5-9b	arc	1,2,3	1	210	2	3	False	0.000408598396461457
correct-error	qwen3.5-9b	arc	1,2,3	1	154	0	2	False	0.0012018157867714763
correct-error	qwen3.5-9b	arc	1,2,3	1	154	1	2	True	1.9633098418125883e-05
correct-error	qwen3.5-9b	arc	1,2,3	1	186	0	2	False	0.0008961831917986274
correct-error	qwen3.5-9b	arc	1,2,3	1	186	1	2	True	0.000634862226434052
correct-error	qwen3.5-9b	arc	1,2,3	1	85	0	2	False	0.0006623289664275944
correct-error	qwen3.5-9b	arc	1,2,3	1	85	1	2	True	0.00020869892614427954
correct-error	qwen3.5-9b	arc	1,2,3	1	157	0	22	False	0.0012618477921932936
correct-error	qwen3.5-9b	arc	1,2,3	1	157	1	22	False	0.00023785894154570997
correct-error	qwen3.5-9b	arc	1,2,3	1	157	2	22	False	0.000366723834304139
correct-error	qwen3.5-9b	arc	1,2,3	1	157	3	22	False	0.00016728791524656117
correct-error	qwen3.5-9b	arc	1,2,3	1	157	4	22	False	0.0004444707010407001
correct-error	qwen3.5-9b	arc	1,2,3	1	157	5	22	False	0.00018261864897795022
correct-error	qwen3.5-9b	arc	1,2,3	1	157	6	22	False	0.0004451631975825876
correct-error	qwen3.5-9b	arc	1,2,3	1	157	7	22	False	0.0001822728372644633
correct-error	qwen3.5-9b	arc	1,2,3	1	157	8	22	False	0.0004454084555618465
correct-error	qwen3.5-9b	arc	1,2,3	1	157	9	22	False	0.00019392544345464557
correct-error	qwen3.5-9b	arc	1,2,3	1	157	10	22	False	0.00044698562123812735
correct-error	qwen3.5-9b	arc	1,2,3	1	157	11	22	False	0.0001912677544169128
correct-error	qwen3.5-9b	arc	1,2,3	1	157	12	22	False	0.00017111675697378814
