dataset	model	subset	triple	pooling	method	position	c_begin	c_end	centered	weighted	direction	step_acc_recorded	step_acc_reproduced	verified
correct-error	qwen3.5-9b	arc	1,2,3	mean	proj	embed	1	3	False	False	asc	0.8026	0.8026315789473685	True
correct-error	qwen3.5-9b	arc	2,3,4	mean	proj	embed	1	3	False	False	asc	0.7895	0.7894736842105262	True
correct-error	qwen3.5-9b	arc	3,4,5	mean	proj	embed	1	3	False	False	asc	0.7961	0.7960526315789473	True
correct-error	qwen3.5-9b	arc	4,5,6	mean	proj	act/31_normed	1	2	False	False	asc	0.7939	0.793859649122807	True
correct-error	qwen3.5-9b	arc	5,6,7	mean	proj	act/31_normed	1	2	False	False	asc	0.8048	0.8048245614035089	True
correct-error	qwen3.5-9b	arc	6,7,8	mean	proj	act/3	0	2	False	False	asc	0.8158	0.8157894736842106	True
correct-error	qwen3.5-9b	arc	7,8,9	mean	proj	act/3	1	3	False	False	asc	0.8136	0.8135964912280702	True
correct-error	qwen3.5-9b	arc	8,9,10	mean	proj	embed	1	3	False	False	asc	0.8246	0.8245614035087719	True
correct-error	qwen3.5-9b	arc	9,10,11	mean	proj	act/3	1	3	False	False	asc	0.818	0.8179824561403509	True
correct-error	qwen3.5-9b	arc	10,11,12	mean	proj	act/3	1	3	False	False	asc	0.807	0.8070175438596491	True
correct-error	qwen3.5-9b	arc	11,12,13	mean	proj	act/19	1	3	False	False	asc	0.7961	0.7960526315789473	True
correct-error	qwen3.5-9b	arc	12,13,14	mean	proj	embed	1	3	False	False	asc	0.807	0.8070175438596491	True
correct-error	qwen3.5-9b	arc	13,14,15	mean	proj	embed	1	3	False	False	asc	0.807	0.8070175438596491	True
correct-error	qwen3.5-9b	arc	14,15,16	mean	proj	embed	1	3	False	False	asc	0.8092	0.8092105263157895	True
correct-error	qwen3.5-9b	arc	15,16,17	mean	proj	act/3	1	3	False	False	asc	0.7982	0.7982456140350878	True
correct-error	qwen3.5-9b	arc	16,17,18	mean	proj	act/3	0	3	False	False	asc	0.8224	0.8223684210526315	True
correct-error	qwen3.5-9b	arc	17,18,19	mean	proj	embed	1	3	False	False	asc	0.8136	0.8135964912280702	True
correct-error	qwen3.5-9b	arc	18,19,20	mean	proj	embed	1	3	False	False	asc	0.8377	0.837719298245614	True
