strategy	position	pooling	method	c_begin	c_end	centered	weighted	threshold	seed	sel_by	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
svd	act/27	last	proj	0	2	True	False		1	test	0.08888888888888889	0.5333333333333333	0.17391304347826086	0.6956521739130435
svd	act/11	last	norm_l1	0	0	False	False		2	test	0.1111111111111111	0.6666666666666666	0.2391304347826087	0.6086956521739131
svd	act/3	last	norm_l2	0	0	False	False		3	test	0.022222222222222223	0.5111111111111111	0.21739130434782608	0.5434782608695652
svd	act/27	mean	proj	2	4	False	False		1	test	0.15555555555555556	0.6444444444444445	0.21739130434782608	0.6956521739130435
svd	act/23	mean	proj	2	4	False	False		2	test	0.15555555555555556	0.6444444444444445	0.21739130434782608	0.6956521739130435
svd	act/23	mean	proj	2	3	True	False		3	test	0.06666666666666667	0.6888888888888889	0.17391304347826086	0.6739130434782609
svd	act/7	last	proj	11	16	True	False		1	val	0.2222222222222222	0.5555555555555556	0.13043478260869565	0.5434782608695652
svd	act/3	last	proj	4	5	False	False		2	val	0.2	0.6888888888888889	0.10869565217391304	0.6086956521739131
svd	act/7	last	proj	18	20	True	False		3	val	0.17777777777777778	0.5111111111111111	0.15217391304347827	0.6086956521739131
svd	act/23	mean	proj	0	15	False	False		1	val	0.2222222222222222	0.6888888888888889	0.15217391304347827	0.6086956521739131
svd	act/27	mean	proj	2	4	False	False		2	val	0.2222222222222222	0.7111111111111111	0.1956521739130435	0.717391304347826
svd	act/27	mean	proj	2	4	False	False		3	val	0.24444444444444444	0.7777777777777778	0.17391304347826086	0.6521739130434783
