model	subset	seed	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_val@1	agent_acc_val@1	step_acc_val@3	agent_acc_val@3	step_acc_test@1	agent_acc_test@1	step_acc_test@3	agent_acc_test@3
qwen3.5-9b	math500	19	act/15	1	4	base	-	0.0	-	0.46875	0.71875	0.6875	0.71875	0.6708860759493671	0.620253164556962	0.8354430379746836	0.7215189873417721
qwen3.5-9b	math500	19	act/7	1	5	base	-	0.0	-	0.4375	0.65625	0.71875	0.71875	0.6708860759493671	0.620253164556962	0.8227848101265823	0.6962025316455697
qwen3.5-9b	math500	19	act/11	1	3	base	-	0.0	-	0.40625	0.5	0.6875	0.65625	0.6582278481012658	0.6075949367088608	0.8481012658227848	0.7341772151898734
qwen3.5-9b	math500	19	act/15	1	3	base	-	0.0	-	0.4375	0.5	0.65625	0.65625	0.6582278481012658	0.6075949367088608	0.8481012658227848	0.7468354430379747
qwen3.5-9b	math500	18	act/11	0	4	base	-	0.0	-	0.5625	0.53125	0.75	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7468354430379747
qwen3.5-9b	math500	18	act/11	0	5	base	-	0.0	-	0.59375	0.5625	0.75	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7468354430379747
qwen3.5-9b	math500	18	act/11	0	6	base	-	0.0	-	0.59375	0.5625	0.75	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7341772151898734
qwen3.5-9b	math500	18	act/11	0	7	base	-	0.0	-	0.59375	0.5625	0.75	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7341772151898734
qwen3.5-9b	math500	18	act/11	0	8	base	-	0.0	-	0.59375	0.5625	0.75	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7341772151898734
qwen3.5-9b	math500	18	act/11	0	9	base	-	0.0	-	0.59375	0.5625	0.75	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7341772151898734
qwen3.5-9b	math500	18	act/11	0	10	base	-	0.0	-	0.59375	0.5625	0.75	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7215189873417721
qwen3.5-9b	math500	18	act/11	0	11	base	-	0.0	-	0.59375	0.5625	0.78125	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7215189873417721
qwen3.5-9b	math500	18	act/11	0	12	base	-	0.0	-	0.59375	0.5625	0.78125	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7215189873417721
qwen3.5-9b	math500	18	act/11	0	13	base	-	0.0	-	0.59375	0.5625	0.78125	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7215189873417721
qwen3.5-9b	math500	18	act/11	0	14	base	-	0.0	-	0.59375	0.5625	0.78125	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7215189873417721
qwen3.5-9b	math500	18	act/11	0	15	base	-	0.0	-	0.59375	0.5625	0.78125	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7215189873417721
qwen3.5-9b	math500	18	act/11	0	16	base	-	0.0	-	0.59375	0.5625	0.78125	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7215189873417721
qwen3.5-9b	math500	18	act/11	0	17	base	-	0.0	-	0.59375	0.5625	0.78125	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7215189873417721
qwen3.5-9b	math500	18	act/11	0	18	base	-	0.0	-	0.59375	0.5625	0.78125	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7215189873417721
qwen3.5-9b	math500	18	act/11	0	19	base	-	0.0	-	0.59375	0.5625	0.78125	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7215189873417721
qwen3.5-9b	math500	18	act/11	0	20	base	-	0.0	-	0.59375	0.5625	0.78125	0.625	0.6455696202531646	0.5822784810126582	0.8227848101265823	0.7215189873417721
qwen3.5-9b	math500	18	act/31_normed	2	3	base	-	0.0	-	0.5	0.5	0.65625	0.53125	0.6455696202531646	0.620253164556962	0.8607594936708861	0.7215189873417721
qwen3.5-9b	math500	19	act/11	1	4	base	-	0.0	-	0.53125	0.6875	0.6875	0.71875	0.6455696202531646	0.6329113924050633	0.8227848101265823	0.6835443037974683
qwen3.5-9b	math500	19	act/7	1	4	base	-	0.0	-	0.53125	0.71875	0.6875	0.71875	0.6455696202531646	0.620253164556962	0.8227848101265823	0.7088607594936709
qwen3.5-9b	math500	18	act/11	0	1	base	-	0.0	-	0.5625	0.53125	0.75	0.625	0.6329113924050633	0.569620253164557	0.8354430379746836	0.759493670886076
qwen3.5-9b	math500	18	act/11	0	2	base	-	0.0	-	0.5625	0.53125	0.75	0.625	0.6329113924050633	0.569620253164557	0.8354430379746836	0.759493670886076
qwen3.5-9b	math500	18	act/11	0	3	base	-	0.0	-	0.5625	0.53125	0.75	0.625	0.6329113924050633	0.569620253164557	0.8227848101265823	0.759493670886076
qwen3.5-9b	math500	18	act/3	0	1	base	-	0.0	-	0.5	0.5625	0.71875	0.65625	0.6329113924050633	0.5569620253164557	0.8481012658227848	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	2	base	-	0.0	-	0.5	0.5625	0.71875	0.65625	0.6329113924050633	0.5569620253164557	0.8481012658227848	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	3	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	4	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	5	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	6	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	7	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	8	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	9	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	10	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	11	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	12	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8481012658227848	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	13	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	14	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	15	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	16	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	17	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	18	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	19	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/3	0	20	base	-	0.0	-	0.53125	0.59375	0.71875	0.65625	0.6329113924050633	0.569620253164557	0.8607594936708861	0.7468354430379747
qwen3.5-9b	math500	18	act/7	0	4	base	-	0.0	-	0.46875	0.5	0.75	0.625	0.6329113924050633	0.6329113924050633	0.8354430379746836	0.7341772151898734
qwen3.5-9b	math500	18	act/7	0	5	base	-	0.0	-	0.46875	0.5	0.75	0.625	0.6329113924050633	0.6329113924050633	0.8354430379746836	0.7341772151898734
