model	subset	row	seeds	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
qwen3.5-9b	arc	svd	17,18,19	embed	1	3			0.0		0.8135964912280702	0.8640350877192983	0.8032786885245901	0.8743169398907104
qwen3.5-9b	arc	backprop	17,18,19	embed	1	3	backprop	6-8	0.1	1	0.8157894736842106	0.8640350877192983	0.8087431693989071	0.8633879781420766
qwen3.5-9b	arc	succ-strong	17,18,19	embed	1	3	succ-strong	6-8	0.0	all	0.8135964912280702	0.8640350877192983	0.8032786885245901	0.8743169398907104
qwen3.5-9b	arc	succ-near	17,18,19	embed	1	3	succ-near	6-8	0.1	1	0.8157894736842106	0.8640350877192983	0.8087431693989071	0.8633879781420766
qwen3.5-9b	gaia	svd	17,18,19	ens-mid3	1	4			0.0		0.68	0.7866666666666667	0.5333333333333333	0.5333333333333333
qwen3.5-9b	gaia	backprop	17,18,19	ens-mid3	1	4	backprop	6-8	0.2	all	0.6933333333333334	0.7733333333333334	0.5333333333333333	0.5333333333333333
qwen3.5-9b	gaia	succ-strong	17,18,19	ens-mid3	1	4	succ-strong	6-8	0.2	all	0.6933333333333334	0.7733333333333334	0.5333333333333333	0.5333333333333333
qwen3.5-9b	gaia	succ-near	17,18,19	ens-mid3	1	4	succ-near	6-8	0.8	1	0.7200000000000001	0.7733333333333334	0.5666666666666668	0.5666666666666667
qwen3.5-9b	hotpot	svd	17,18,19	act/15	1	3			0.0		0.4567474048442906	0.6885813148788927	0.4827586206896551	0.7270114942528735
qwen3.5-9b	hotpot	backprop	17,18,19	act/15	1	3	backprop	4-6	0.2	1	0.46482122260668973	0.6897347174163784	0.4827586206896551	0.7270114942528735
qwen3.5-9b	hotpot	succ-strong	17,18,19	act/15	1	3	succ-strong	6-8	0.0	all	0.4567474048442906	0.6885813148788927	0.4827586206896551	0.7270114942528735
qwen3.5-9b	hotpot	succ-near	17,18,19	act/15	1	3	succ-near	6-8	0.1	1	0.4590542099192618	0.6816608996539792	0.48850574712643674	0.7183908045977012
qwen3.5-9b	math500	svd	17,18,19	act/7	0	20			0.0		0.6118143459915611	0.6033755274261603	0.5416666666666666	0.5416666666666666
qwen3.5-9b	math500	backprop	17,18,19	act/7	0	20	backprop	6-8	0.0	all	0.6118143459915611	0.6033755274261603	0.5416666666666666	0.5416666666666666
qwen3.5-9b	math500	succ-strong	17,18,19	act/7	0	20	succ-strong	6-8	0.0	all	0.6118143459915611	0.6033755274261603	0.5416666666666666	0.5416666666666666
qwen3.5-9b	math500	succ-near	17,18,19	act/7	0	20	succ-near	6-8	0.0	all	0.6118143459915611	0.6033755274261603	0.5416666666666666	0.5416666666666666
qwen3.5-9b	mmlu_pro	svd	17,18,19	act/11	0	3			0.0		0.7971014492753623	0.818840579710145	0.6666666666666666	0.7368421052631579
qwen3.5-9b	mmlu_pro	backprop	17,18,19	act/11	0	3	backprop	6-8	0.0	all	0.7971014492753623	0.818840579710145	0.6666666666666666	0.7368421052631579
qwen3.5-9b	mmlu_pro	succ-strong	17,18,19	act/11	0	3	succ-strong	6-8	0.0	all	0.7971014492753623	0.818840579710145	0.6666666666666666	0.7368421052631579
qwen3.5-9b	mmlu_pro	succ-near	17,18,19	act/11	0	3	succ-near	6-8	0.0	all	0.7971014492753623	0.818840579710145	0.6666666666666666	0.7368421052631579
qwen3.5-9b	musique	svd	17,18,19	act/3	1	3			0.0		0.43589743589743585	0.7371794871794872	0.41798941798941797	0.693121693121693
qwen3.5-9b	musique	backprop	17,18,19	act/3	1	3	backprop	6-8	0.0	all	0.43589743589743585	0.7371794871794872	0.41798941798941797	0.693121693121693
qwen3.5-9b	musique	succ-strong	17,18,19	act/3	1	3	succ-strong	6-8	0.0	all	0.43589743589743585	0.7371794871794872	0.41798941798941797	0.693121693121693
qwen3.5-9b	musique	succ-near	17,18,19	act/3	1	3	succ-near	6-8	0.0	all	0.43589743589743585	0.7371794871794872	0.41798941798941797	0.693121693121693
qwen3.5-9b	wikimqa	svd	17,18,19	act/15	1	3			0.0		0.5013623978201635	0.7002724795640326	0.47845804988662133	0.7188208616780045
qwen3.5-9b	wikimqa	backprop	17,18,19	act/15	1	3	backprop	6-8	0.1	1	0.505903723887375	0.6975476839237057	0.4829931972789116	0.7188208616780045
qwen3.5-9b	wikimqa	succ-strong	17,18,19	act/15	1	3	succ-strong	6-8	0.0	all	0.5013623978201635	0.7002724795640326	0.47845804988662133	0.7188208616780045
qwen3.5-9b	wikimqa	succ-near	17,18,19	act/15	1	3	succ-near	6-8	0.1	1	0.5059037238873751	0.695731153496821	0.48979591836734687	0.7233560090702947
deepseek-8b	arc	svd	17,18,19	act/13	0	3			0.0		0.8771929824561404	0.8925438596491228	0.8306010928961749	0.8524590163934427
deepseek-8b	arc	backprop	17,18,19	act/13	0	3	backprop	8-16	0.0	all	0.8771929824561404	0.8925438596491228	0.8306010928961749	0.8524590163934427
deepseek-8b	arc	succ-strong	17,18,19	act/13	0	3	succ-strong	8-16	0.0	all	0.8771929824561404	0.8925438596491228	0.8306010928961749	0.8524590163934427
deepseek-8b	arc	succ-near	17,18,19	act/13	0	3	succ-near	8-16	0.0	all	0.8771929824561404	0.8925438596491228	0.8306010928961749	0.8524590163934427
deepseek-8b	gaia	svd	17,18,19	act/13	0	4			0.0		0.7200000000000001	0.8533333333333334	0.6	0.7666666666666666
deepseek-8b	gaia	backprop	17,18,19	act/13	0	4	backprop	8-16	0.0	all	0.7200000000000001	0.8533333333333334	0.6	0.7666666666666666
deepseek-8b	gaia	succ-strong	17,18,19	act/13	0	4	succ-strong	8-16	0.0	all	0.7200000000000001	0.8533333333333334	0.6	0.7666666666666666
deepseek-8b	gaia	succ-near	17,18,19	act/13	0	4	succ-near	8-16	0.0	all	0.7200000000000001	0.8533333333333334	0.6	0.7666666666666666
deepseek-8b	hotpot	svd	17,18,19	act/16	0	4			0.0		0.5271049596309112	0.698961937716263	0.4942528735632184	0.6752873563218391
deepseek-8b	hotpot	backprop	17,18,19	act/16	0	4	backprop	8-16	0.0	all	0.5271049596309112	0.698961937716263	0.4942528735632184	0.6752873563218391
deepseek-8b	hotpot	succ-strong	17,18,19	act/16	0	4	succ-strong	8-16	0.0	all	0.5271049596309112	0.698961937716263	0.4942528735632184	0.6752873563218391
deepseek-8b	hotpot	succ-near	17,18,19	act/16	0	4	succ-near	8-16	0.0	all	0.5271049596309112	0.698961937716263	0.4942528735632184	0.6752873563218391
deepseek-8b	math500	svd	17,18,19	act/15	1	3			0.0		0.5991561181434598	0.5864978902953587	0.5625	0.65625
deepseek-8b	math500	backprop	17,18,19	act/15	1	3	backprop	8-16	0.0	all	0.5991561181434598	0.5864978902953587	0.5625	0.65625
