seed	pooling	sel_by	source	position	method	c_begin	c_end	centered	weighted	undisc_step_acc_val	undisc_agent_acc_val	undisc_step_acc_test	undisc_agent_acc_test	svd_orient	layer_range	gamma	w	disc_step_acc_val	disc_agent_acc_val	disc_step_acc_test	disc_agent_acc_test	diff_step_acc_val	diff_agent_acc_val	diff_step_acc_test	diff_agent_acc_test
1	last	test	correct-full/magentic	act/11	proj	13	16	True	False	0.2413793103448276	0.6551724137931034	0.2413793103448276	0.5862068965517241	inverse	0-2	0.6	1	0.2413793103448276	0.6896551724137931	0.2068965517241379	0.5517241379310345	0.0	0.034482758620689724	-0.034482758620689696	-0.03448275862068961
2	last	test	correct-full/magentic	act/3	proj	15	17	False	False	0.0689655172413793	0.5172413793103449	0.3448275862068966	0.8620689655172413	negate	0-2	0.2	all	0.1724137931034483	0.4827586206896552	0.2068965517241379	0.5517241379310345	0.10344827586206899	-0.03448275862068967	-0.13793103448275867	-0.31034482758620685
3	last	test	correct-full/magentic	act/7	proj	12	18	False	False	0.1034482758620689	0.5517241379310345	0.2413793103448276	0.5172413793103449	inverse	2-4	1.0	4	0.2068965517241379	0.6206896551724138	0.1724137931034483	0.5172413793103449	0.103448275862069	0.06896551724137934	-0.06896551724137931	0.0
1	mean	test	correct-full/magentic	act/31_normed	proj	0	1	False	False	0.1724137931034483	0.5172413793103449	0.3448275862068966	0.6896551724137931	inverse	2-4	0.2	all	0.2068965517241379	0.5172413793103449	0.3103448275862069	0.6551724137931034	0.03448275862068961	0.0	-0.03448275862068967	-0.034482758620689724
2	mean	test	correct-full/magentic	act/31_normed	norm_l2	0	0	False	False	0.1379310344827586	0.4137931034482758	0.3448275862068966	0.7586206896551724	negate	0-2	0.6	2	0.2068965517241379	0.5517241379310345	0.2413793103448276	0.6896551724137931	0.06896551724137931	0.13793103448275867	-0.10344827586206898	-0.06896551724137923
3	mean	test	correct-full/magentic	act/15	proj	8	9	False	False	0.1379310344827586	0.6206896551724138	0.2758620689655172	0.5517241379310345	negate	6-8	0.1	4	0.1724137931034483	0.5862068965517241	0.3103448275862069	0.4482758620689655	0.034482758620689696	-0.034482758620689724	0.034482758620689724	-0.10344827586206895
1	last	val	correct-full/magentic	act/11	proj	13	16	True	False	0.2413793103448276	0.6551724137931034	0.2413793103448276	0.5862068965517241	inverse	0-2	0.6	1	0.2413793103448276	0.6896551724137931	0.2068965517241379	0.5517241379310345	0.0	0.034482758620689724	-0.034482758620689696	-0.03448275862068961
2	last	val	correct-full/magentic	act/11	proj	11	15	False	False	0.2413793103448276	0.5862068965517241	0.1034482758620689	0.4482758620689655	negate	0-2	0.0	1	0.2413793103448276	0.5862068965517241	0.1034482758620689	0.4482758620689655	0.0	0.0	0.0	0.0
3	last	val	correct-full/magentic	act/7	proj	17	20	True	False	0.2413793103448276	0.7241379310344828	0.1379310344827586	0.6206896551724138	inverse	0-2	0.2	1	0.2413793103448276	0.7586206896551724	0.1379310344827586	0.6206896551724138	0.0	0.03448275862068961	0.0	0.0
1	mean	val	correct-full/magentic	act/3	proj	14	16	True	False	0.2758620689655172	0.6551724137931034	0.1379310344827586	0.5517241379310345	negate	0-2	0.0	1	0.2758620689655172	0.6551724137931034	0.1379310344827586	0.5517241379310345	0.0	0.0	0.0	0.0
2	mean	val	correct-full/magentic	act/11	proj	13	15	True	False	0.2758620689655172	0.5517241379310345	0.1379310344827586	0.4827586206896552	negate	0-2	0.0	1	0.2758620689655172	0.5517241379310345	0.1379310344827586	0.4827586206896552	0.0	0.0	0.0	0.0
3	mean	val	correct-full/magentic	act/31_normed	proj	0	1	False	False	0.3448275862068966	0.6551724137931034	0.1724137931034483	0.5517241379310345	negate	0-2	0.0	1	0.3448275862068966	0.6551724137931034	0.1724137931034483	0.5517241379310345	0.0	0.0	0.0	0.0
