model	subset	seed	split	traj_idx	n_steps	step_idx	role	base	oriented	normalized	final	base_rank	final_rank	is_gold	is_base_pred	is_soap_pred
qwen3.5-9b	algorithm-generated	4	test	102	10	0	Filmography_Expert	74.13511657714844	0.013488884083926678	0.013488884083926678	0.026679977774620056	6	6	False	False	False
qwen3.5-9b	algorithm-generated	4	test	102	10	1	Filmography_Expert	33.934112548828125	0.029468871653079987	0.029468871653079987	0.05667459964752197	4	1	True	False	True
qwen3.5-9b	algorithm-generated	4	test	102	10	2	StreamingAvailability_Expert	22.054180145263672	0.04534287750720978	0.04534287750720978	0.04534287750720978	1	2	False	True	False
qwen3.5-9b	algorithm-generated	4	test	102	10	3	StreamingAvailability_Expert	30.054929733276367	0.03327241167426109	0.03327241167426109	0.03327241167426109	3	4	False	False	False
qwen3.5-9b	algorithm-generated	4	test	102	10	4	IMDB_Ratings_Expert	29.06399154663086	0.034406837075948715	0.034406837075948715	0.034406837075948715	2	3	False	False	False
qwen3.5-9b	algorithm-generated	4	test	102	10	5	IMDB_Ratings_Expert	35.151817321777344	0.028448032215237617	0.028448032215237617	0.028448032215237617	5	5	False	False	False
qwen3.5-9b	algorithm-generated	4	test	102	10	6	IMDB_Ratings_Expert	78.82695770263672	0.012686015106737614	0.012686015106737614	0.012686015106737614	7	7	False	False	False
qwen3.5-9b	algorithm-generated	4	test	102	10	7	Computer_terminal	338.724365234375	0.0029522529803216457	0.0029522529803216457	0.006350861396640539	10	9	False	False	False
qwen3.5-9b	algorithm-generated	4	test	102	10	8	IMDB_Ratings_Expert	78.97844696044922	0.012661682441830635	0.012661682441830635	0.012661682441830635	8	8	False	False	False
qwen3.5-9b	algorithm-generated	4	test	102	10	9	Computer_terminal	176.5428466796875	0.00566434720531106	0.00566434720531106	0.00566434720531106	9	10	False	False	False
