strategy	position	pooling	method	c_begin	c_end	centered	weighted	threshold	seed	sel_by	source	layer_range	gamma	w	orient	undisc_step_acc_val	undisc_agent_acc_val	undisc_step_acc_test	undisc_agent_acc_test	disc_step_acc_val	disc_agent_acc_val	disc_step_acc_test	disc_agent_acc_test
svd	act/28	last	proj	6	10	False	False		1	val	correct-full/magentic	0-8	0.0	1	negate	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444
svd	act/28	last	proj	6	10	False	False		1	val	correct-full/magentic	0-8	0.0	2	negate	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444
svd	act/28	last	proj	6	10	False	False		1	val	correct-full/magentic	0-8	0.0	3	negate	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444
svd	act/28	last	proj	6	10	False	False		1	val	correct-full/magentic	0-8	0.0	4	negate	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444
svd	act/28	last	proj	6	10	False	False		1	val	correct-full/magentic	0-8	0.0	5	negate	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444
svd	act/28	last	proj	6	10	False	False		1	val	correct-full/magentic	0-8	0.0	all	negate	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444
svd	act/28	last	proj	6	10	False	False		1	val	correct-full/magentic	0-8	0.1	1	negate	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444	0.31746031746031744	0.5555555555555556	0.2222222222222222	0.4603174603174603
svd	act/28	last	proj	6	10	False	False		1	val	correct-full/magentic	0-8	0.1	2	negate	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444	0.31746031746031744	0.5714285714285714	0.20634920634920634	0.4444444444444444
svd	act/28	last	proj	6	10	False	False		1	val	correct-full/magentic	0-8	0.1	3	negate	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444	0.31746031746031744	0.5714285714285714	0.23809523809523808	0.4603174603174603
svd	act/28	last	proj	6	10	False	False		1	val	correct-full/magentic	0-8	0.1	4	negate	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444	0.31746031746031744	0.5714285714285714	0.23809523809523808	0.4603174603174603
svd	act/28	last	proj	6	10	False	False		1	val	correct-full/magentic	0-8	0.1	5	negate	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444	0.31746031746031744	0.5714285714285714	0.23809523809523808	0.4603174603174603
svd	act/28	last	proj	6	10	False	False		1	val	correct-full/magentic	0-8	0.1	all	negate	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444	0.31746031746031744	0.5714285714285714	0.23809523809523808	0.4603174603174603
