new_index,orig_subset,orig_index,trajectory_id
1,arc,1,gpt-4o-mini_arc_task100_1
2,arc,2,gpt-4o-mini_arc_task101_1
3,arc,3,gpt-4o-mini_arc_task102_1
4,arc,4,gpt-4o-mini_arc_task105_1
5,arc,5,gpt-4o-mini_arc_task107_1
6,arc,6,gpt-4o-mini_arc_task108_1
7,arc,7,gpt-4o-mini_arc_task109_1
8,arc,8,gpt-4o-mini_arc_task113_1
9,arc,9,gpt-4o-mini_arc_task114_1
10,arc,10,gpt-4o-mini_arc_task115_1
11,arc,11,gpt-4o-mini_arc_task117_1
12,arc,12,gpt-4o-mini_arc_task119_1
13,arc,13,gpt-4o-mini_arc_task120_1
14,arc,14,gpt-4o-mini_arc_task122_1
15,arc,15,gpt-4o-mini_arc_task123_1
16,arc,16,gpt-4o-mini_arc_task124_1
17,arc,17,gpt-4o-mini_arc_task126_1
18,arc,18,gpt-4o-mini_arc_task127_1
19,arc,19,gpt-4o-mini_arc_task130_1
20,arc,20,gpt-4o-mini_arc_task131_1
21,arc,21,gpt-4o-mini_arc_task133_1
22,arc,22,gpt-4o-mini_arc_task134_1
23,arc,23,gpt-4o-mini_arc_task135_1
24,arc,24,gpt-4o-mini_arc_task136_1
25,arc,25,gpt-4o-mini_arc_task137_1
26,arc,26,gpt-4o-mini_arc_task138_1
27,arc,27,gpt-4o-mini_arc_task13_1
28,arc,28,gpt-4o-mini_arc_task140_1
29,arc,29,gpt-4o-mini_arc_task141_1
30,arc,30,gpt-4o-mini_arc_task142_1
31,arc,31,gpt-4o-mini_arc_task145_1
32,arc,32,gpt-4o-mini_arc_task146_1
33,arc,33,gpt-4o-mini_arc_task149_1
34,arc,34,gpt-4o-mini_arc_task14_1
35,arc,35,gpt-4o-mini_arc_task152_1
36,arc,36,gpt-4o-mini_arc_task156_1
37,arc,37,gpt-4o-mini_arc_task157_1
38,arc,38,gpt-4o-mini_arc_task158_1
39,arc,39,gpt-4o-mini_arc_task159_1
40,arc,40,gpt-4o-mini_arc_task15_1
41,arc,41,gpt-4o-mini_arc_task164_1
42,arc,42,gpt-4o-mini_arc_task165_1
43,arc,43,gpt-4o-mini_arc_task166_1
44,arc,44,gpt-4o-mini_arc_task169_1
45,arc,45,gpt-4o-mini_arc_task171_1
46,arc,46,gpt-4o-mini_arc_task175_1
47,arc,47,gpt-4o-mini_arc_task176_1
48,arc,48,gpt-4o-mini_arc_task178_1
49,arc,49,gpt-4o-mini_arc_task17_1
50,arc,50,gpt-4o-mini_arc_task180_1
51,arc,51,gpt-4o-mini_arc_task181_1
52,arc,52,gpt-4o-mini_arc_task182_1
53,arc,53,gpt-4o-mini_arc_task183_1
54,arc,54,gpt-4o-mini_arc_task185_1
