dataset	model	subset	seeds	layer_range	gamma	w	variant	position	c_begin	c_end	is_anchor	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	embed	0	18	False	0.15503875968992248	0.40310077519379844	0.19607843137254902	0.5098039215686274
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/0	0	18	False	0.09302325581395349	0.24031007751937983	0.0784313725490196	0.19607843137254902
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/1	0	18	False	0.06201550387596899	0.3333333333333333	0.0392156862745098	0.29411764705882354
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/2	0	18	False	0.13953488372093023	0.5426356589147286	0.1568627450980392	0.5686274509803922
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/3	0	18	False	0.1937984496124031	0.49612403100775193	0.2549019607843137	0.607843137254902
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/4	0	18	False	0.24806201550387597	0.4573643410852713	0.37254901960784315	0.5490196078431372
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/5	0	18	False	0.22480620155038764	0.38759689922480617	0.29411764705882354	0.4705882352941176
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/6	0	18	False	0.17054263565891473	0.4186046511627907	0.19607843137254902	0.4901960784313726
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/7	0	18	False	0.13953488372093023	0.34108527131782945	0.1176470588235294	0.35294117647058826
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/8	0	18	False	0.06976744186046512	0.24031007751937983	0.0784313725490196	0.23529411764705885
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/9	0	18	False	0.09302325581395349	0.24031007751937983	0.0784313725490196	0.2352941176470588
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/10	0	18	False	0.09302325581395349	0.22480620155038758	0.0784313725490196	0.2352941176470588
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/11	0	18	False	0.10852713178294575	0.2868217054263566	0.09803921568627451	0.29411764705882354
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/12	0	18	False	0.06201550387596899	0.2170542635658915	0.0784313725490196	0.2352941176470588
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/13	0	18	False	0.08527131782945736	0.23255813953488372	0.0784313725490196	0.2549019607843137
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/14	0	18	False	0.11627906976744186	0.24031007751937986	0.09803921568627451	0.2549019607843137
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/15	0	18	False	0.10077519379844961	0.20930232558139536	0.1176470588235294	0.29411764705882354
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/16	0	18	False	0.15503875968992248	0.2868217054263566	0.1176470588235294	0.3137254901960784
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/17	0	18	False	0.23255813953488372	0.4573643410852713	0.2745098039215686	0.5294117647058824
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/18	0	18	False	0.22480620155038758	0.4186046511627907	0.29411764705882354	0.5294117647058824
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/19	0	18	False	0.2713178294573643	0.49612403100775193	0.3137254901960784	0.607843137254902
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/20	0	18	False	0.34108527131782945	0.5813953488372093	0.3333333333333333	0.607843137254902
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/21	0	18	False	0.2868217054263566	0.5038759689922481	0.35294117647058826	0.5882352941176471
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/22	0	18	False	0.3333333333333333	0.5736434108527132	0.29411764705882354	0.5490196078431372
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/23	0	18	False	0.3023255813953489	0.5503875968992248	0.29411764705882354	0.5882352941176471
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/24	0	18	False	0.32558139534883723	0.5736434108527132	0.3333333333333333	0.5686274509803922
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/25	0	18	False	0.2945736434108527	0.5736434108527132	0.35294117647058826	0.5686274509803922
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/26	0	18	False	0.29457364341085274	0.5813953488372093	0.3137254901960784	0.607843137254902
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/27	0	18	False	0.27906976744186046	0.6046511627906976	0.3333333333333333	0.6470588235294117
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/28	0	18	False	0.2713178294573643	0.6046511627906976	0.3137254901960784	0.6666666666666666
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/29	0	18	False	0.310077519379845	0.5968992248062016	0.411764705882353	0.6666666666666666
traceelephant	deepseek-8b	captain	22,23,24	8-16	0.2	all	anchor-base	act/30	0	18	False	0.26356589147286824	0.6046511627906976	0.3333333333333333	0.6666666666666666
