dataset	model	subset	seeds	position	c_begin	c_end	layer_range	gamma	w	is_anchor	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	0-2	0.6	1	True	0.4761904761904761	0.6031746031746031	0.44871794871794873	0.576923076923077
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	0-2	0.6	2	False	0.4179894179894179	0.5714285714285714	0.3333333333333333	0.5128205128205128
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	0-2	0.6	3	False	0.4074074074074074	0.5343915343915344	0.35897435897435886	0.5256410256410257
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	0-2	0.6	4	False	0.40211640211640204	0.5185185185185185	0.35897435897435886	0.5128205128205128
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	0-2	0.6	5	False	0.40211640211640204	0.5291005291005292	0.3461538461538461	0.5
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	0-2	0.6	all	False	0.40211640211640204	0.5343915343915344	0.3461538461538461	0.5128205128205128
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	4-6	0.1	1	False	0.3333333333333333	0.6781609195402298	0.19444444444444442	0.6111111111111112
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	4-6	0.1	2	True	0.3448275862068966	0.6781609195402298	0.19444444444444442	0.6111111111111112
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	4-6	0.1	3	False	0.3218390804597701	0.6551724137931035	0.19444444444444442	0.6111111111111112
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	4-6	0.1	4	False	0.3218390804597701	0.6551724137931035	0.19444444444444442	0.6111111111111112
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	4-6	0.1	5	False	0.3218390804597701	0.6551724137931035	0.19444444444444442	0.6111111111111112
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	4-6	0.1	all	False	0.3218390804597701	0.6551724137931035	0.19444444444444442	0.6111111111111112
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	24-32	1.0	1	True	0.45502645502645495	0.6190476190476191	0.3461538461538461	0.6153846153846154
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	24-32	1.0	2	False	0.3862433862433862	0.5873015873015873	0.3461538461538461	0.6025641025641025
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	24-32	1.0	3	False	0.3333333333333333	0.5502645502645502	0.30769230769230765	0.6025641025641025
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	24-32	1.0	4	False	0.3439153439153439	0.544973544973545	0.2948717948717949	0.5897435897435898
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	24-32	1.0	5	False	0.3756613756613756	0.582010582010582	0.30769230769230765	0.5897435897435898
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	24-32	1.0	all	False	0.37566137566137564	0.5714285714285713	0.3205128205128205	0.6025641025641025
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	8-16	0.0	1	False	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	8-16	0.0	2	False	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	8-16	0.0	3	False	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	8-16	0.0	4	False	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	8-16	0.0	5	False	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	8-16	0.0	all	True	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	6-8	1.0	1	False	0.15942028985507242	0.5797101449275363	0.1296296296296296	0.48148148148148145
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	6-8	1.0	2	False	0.2028985507246377	0.6014492753623188	0.09259259259259256	0.5
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	6-8	1.0	3	False	0.18840579710144925	0.6594202898550724	0.1111111111111111	0.5185185185185185
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	6-8	1.0	4	True	0.2318840579710145	0.6521739130434783	0.1111111111111111	0.5185185185185185
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	6-8	1.0	5	False	0.1884057971014492	0.6376811594202899	0.07407407407407403	0.5
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	6-8	1.0	all	False	0.181159420289855	0.6231884057971014	0.07407407407407403	0.5555555555555556
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	6-8	0.1	1	False	0.28682170542635654	0.5891472868217054	0.17647058823529407	0.6078431372549019
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	6-8	0.1	2	False	0.2945736434108527	0.5891472868217054	0.17647058823529407	0.5686274509803922
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	6-8	0.1	3	False	0.3488372093023256	0.5968992248062015	0.196078431372549	0.5686274509803922
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	6-8	0.1	4	False	0.3488372093023256	0.5968992248062015	0.196078431372549	0.5686274509803922
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	6-8	0.1	5	True	0.3565891472868217	0.6046511627906976	0.2156862745098039	0.5882352941176471
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	6-8	0.1	all	False	0.3488372093023256	0.5968992248062015	0.196078431372549	0.5686274509803922
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	24-32	0.1	1	True	0.3043478260869565	0.6231884057971014	0.1851851851851852	0.5185185185185185
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	24-32	0.1	2	False	0.3043478260869565	0.6159420289855073	0.1851851851851852	0.5
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	24-32	0.1	3	False	0.3043478260869565	0.6159420289855073	0.2037037037037037	0.5185185185185185
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	24-32	0.1	4	False	0.2971014492753623	0.6086956521739131	0.16666666666666663	0.5
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	24-32	0.1	5	False	0.28985507246376807	0.6159420289855073	0.16666666666666663	0.5
