dataset	model	subset	seeds	position	c_begin	c_end	layer_range	gamma	w	is_anchor	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	0-2	0.6	1	True	0.4761904761904761	0.6031746031746031	0.44871794871794873	0.576923076923077
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	2-4	0.6	1	False	0.4021164021164021	0.5555555555555555	0.3205128205128205	0.48717948717948717
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	4-6	0.6	1	False	0.42328042328042326	0.5714285714285714	0.3333333333333333	0.5
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	6-8	0.6	1	False	0.4497354497354497	0.5767195767195766	0.37179487179487175	0.5128205128205128
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	0-2	0.1	2	False	0.3448275862068966	0.6781609195402298	0.22222222222222218	0.6111111111111112
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	2-4	0.1	2	False	0.3218390804597701	0.6551724137931035	0.19444444444444442	0.6111111111111112
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	4-6	0.1	2	True	0.3448275862068966	0.6781609195402298	0.19444444444444442	0.6111111111111112
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	6-8	0.1	2	False	0.3218390804597701	0.6551724137931035	0.19444444444444442	0.6111111111111112
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	0-8	1.0	1	False	0.3703703703703703	0.5185185185185185	0.3333333333333333	0.5897435897435898
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	8-16	1.0	1	False	0.3862433862433862	0.582010582010582	0.2564102564102564	0.5897435897435898
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	16-24	1.0	1	False	0.4391534391534391	0.5873015873015873	0.30769230769230765	0.6025641025641025
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	24-32	1.0	1	True	0.45502645502645495	0.6190476190476191	0.3461538461538461	0.6153846153846154
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	0-8	0.0	all	False	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	8-16	0.0	all	True	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	16-24	0.0	all	False	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	24-32	0.0	all	False	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	0-2	1.0	4	False	0.18115942028985502	0.6304347826086957	0.1111111111111111	0.5555555555555556
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	2-4	1.0	4	False	0.1304347826086956	0.6014492753623188	0.0555555555555555	0.5185185185185185
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	4-6	1.0	4	False	0.21739130434782603	0.6521739130434784	0.09259259259259256	0.5555555555555556
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	6-8	1.0	4	True	0.2318840579710145	0.6521739130434783	0.1111111111111111	0.5185185185185185
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	0-2	0.1	5	False	0.3565891472868217	0.6046511627906976	0.2156862745098039	0.5882352941176471
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	2-4	0.1	5	False	0.3565891472868217	0.6046511627906976	0.196078431372549	0.5686274509803922
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	4-6	0.1	5	False	0.3488372093023256	0.5968992248062015	0.196078431372549	0.5686274509803922
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	6-8	0.1	5	True	0.3565891472868217	0.6046511627906976	0.2156862745098039	0.5882352941176471
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	0-8	0.1	1	False	0.2826086956521739	0.6159420289855072	0.1481481481481481	0.5185185185185185
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	8-16	0.1	1	False	0.28985507246376807	0.6231884057971014	0.16666666666666663	0.5370370370370371
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	16-24	0.1	1	False	0.28985507246376807	0.6086956521739131	0.1851851851851852	0.5555555555555556
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	24-32	0.1	1	True	0.3043478260869565	0.6231884057971014	0.1851851851851852	0.5185185185185185
traceelephant	deepseek-8b	captain	22,23,24	act/31_normed	0	18	0-8	0.2	all	False	0.4186046511627907	0.6434108527131783	0.2941176470588235	0.6078431372549019
traceelephant	deepseek-8b	captain	22,23,24	act/31_normed	0	18	8-16	0.2	all	True	0.42635658914728686	0.6511627906976744	0.3333333333333333	0.6274509803921569
traceelephant	deepseek-8b	captain	22,23,24	act/31_normed	0	18	16-24	0.2	all	False	0.42635658914728686	0.6511627906976744	0.3333333333333333	0.6274509803921569
traceelephant	deepseek-8b	captain	22,23,24	act/31_normed	0	18	24-32	0.2	all	False	0.42635658914728686	0.6511627906976744	0.3333333333333333	0.6274509803921569
