dataset	model	subset	seeds	position	c_begin	c_end	row	lambda	selected	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	base	0.0	True	0.3915343915343915	0.5238095238095238	0.3846153846153846	0.5128205128205128
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-z	0.1	False	0.3809523809523809	0.5132275132275133	0.3974358974358974	0.5256410256410257
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-z	0.2	False	0.3862433862433862	0.5185185185185186	0.3974358974358974	0.5256410256410257
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-z	0.3	False	0.3862433862433862	0.5132275132275133	0.3974358974358974	0.5256410256410257
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-z	0.4	False	0.3915343915343915	0.5185185185185186	0.3974358974358974	0.5256410256410257
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-z	0.5	False	0.3915343915343915	0.5185185185185186	0.3974358974358974	0.5256410256410257
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-z	0.6	False	0.3968253968253968	0.5238095238095238	0.3974358974358974	0.5256410256410257
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-z	0.7	False	0.3968253968253968	0.5185185185185186	0.3974358974358974	0.5256410256410257
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-z	0.8	False	0.4021164021164021	0.5185185185185186	0.3974358974358974	0.5256410256410257
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-z	0.9	False	0.4021164021164021	0.5185185185185186	0.3974358974358974	0.5256410256410257
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-z	1.0	True	0.4074074074074074	0.5238095238095237	0.3846153846153846	0.5384615384615384
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-raw	0.1	True	0.2222222222222222	0.5026455026455027	0.2948717948717949	0.5512820512820513
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-raw	0.2	False	0.164021164021164	0.4973544973544973	0.2051282051282051	0.5
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-raw	0.3	False	0.164021164021164	0.5132275132275133	0.2051282051282051	0.5
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-raw	0.4	False	0.164021164021164	0.5185185185185185	0.2051282051282051	0.5
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-raw	0.5	False	0.164021164021164	0.5238095238095238	0.2051282051282051	0.5
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-raw	0.6	False	0.164021164021164	0.5238095238095238	0.2051282051282051	0.5
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-raw	0.7	False	0.164021164021164	0.5291005291005291	0.2051282051282051	0.5
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-raw	0.8	False	0.164021164021164	0.5291005291005291	0.2051282051282051	0.5
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-raw	0.9	False	0.164021164021164	0.5291005291005291	0.2051282051282051	0.5
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	temporal-raw	1.0	False	0.164021164021164	0.5291005291005291	0.2051282051282051	0.5
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	earliest-top5	0.0	True	0.2116402116402116	0.5026455026455027	0.282051282051282	0.5512820512820513
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	soap		True	0.4761904761904761	0.6031746031746031	0.4487179487179487	0.576923076923077
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	base	0.0	True	0.3333333333333333	0.6781609195402298	0.1944444444444444	0.6388888888888888
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-z	0.1	False	0.3333333333333333	0.6781609195402298	0.1944444444444444	0.611111111111111
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-z	0.2	False	0.3448275862068965	0.6781609195402298	0.1944444444444444	0.5833333333333333
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-z	0.3	False	0.3448275862068965	0.6781609195402298	0.1944444444444444	0.5833333333333333
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-z	0.4	False	0.3448275862068965	0.6781609195402298	0.1944444444444444	0.5833333333333333
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-z	0.5	False	0.3448275862068965	0.6781609195402298	0.1944444444444444	0.5833333333333333
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-z	0.6	False	0.3448275862068965	0.6781609195402298	0.1944444444444444	0.5833333333333333
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-z	0.7	True	0.3448275862068965	0.6781609195402298	0.1944444444444444	0.5833333333333333
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-z	0.8	False	0.3333333333333333	0.6781609195402298	0.1944444444444444	0.5833333333333333
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-z	0.9	False	0.3218390804597701	0.6551724137931034	0.1944444444444444	0.5833333333333333
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-z	1.0	False	0.3218390804597701	0.6551724137931034	0.1944444444444444	0.5833333333333333
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-raw	0.1	False	0.0344827586206896	0.3333333333333333	0.0	0.3055555555555556
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-raw	0.2	False	0.0344827586206896	0.3333333333333333	0.0	0.3055555555555556
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-raw	0.3	False	0.0344827586206896	0.3333333333333333	0.0	0.3055555555555556
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-raw	0.4	False	0.0344827586206896	0.3333333333333333	0.0	0.3055555555555556
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-raw	0.5	False	0.0344827586206896	0.3333333333333333	0.0	0.3055555555555556
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-raw	0.6	False	0.0344827586206896	0.3333333333333333	0.0	0.3055555555555556
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-raw	0.7	False	0.0344827586206896	0.3333333333333333	0.0	0.3055555555555556
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-raw	0.8	False	0.0344827586206896	0.3333333333333333	0.0	0.3055555555555556
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-raw	0.9	False	0.0344827586206896	0.3333333333333333	0.0	0.3055555555555556
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	temporal-raw	1.0	True	0.0344827586206896	0.3333333333333333	0.0	0.3055555555555556
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	earliest-top5	0.0	True	0.1494252873563218	0.5402298850574713	0.0833333333333333	0.5277777777777778
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	soap		True	0.3448275862068966	0.6781609195402298	0.1944444444444444	0.6111111111111112
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	base	0.0	True	0.3862433862433862	0.5873015873015873	0.282051282051282	0.5512820512820513
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	temporal-z	0.1	True	0.3809523809523809	0.5873015873015873	0.282051282051282	0.5512820512820513
