model	subset	row	seeds	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
qwen3.5-9b	magentic	svd	9,10,11	embed	1	18			0.0		0.15942028985507242	0.608695652173913	0.09259259259259256	0.7777777777777778
qwen3.5-9b	magentic	backprop	9,10,11	embed	1	18	backprop	6-8	0.8	4	0.21014492753623185	0.6304347826086957	0.1296296296296296	0.6666666666666666
qwen3.5-9b	magentic	succ-strong	9,10,11	embed	1	18	succ-strong	4-6	1.0	3	0.17391304347826084	0.7101449275362319	0.11111111111111106	0.7222222222222222
qwen3.5-9b	magentic	succ-near	9,10,11	embed	1	18	succ-near	4-6	1.0	2	0.1666666666666666	0.6594202898550725	0.1111111111111111	0.6851851851851851
qwen3.5-9b	captain	svd	2,3,4	act/23	0	7			0.0		0.3255813953488372	0.6124031007751939	0.1372549019607843	0.5294117647058824
qwen3.5-9b	captain	backprop	2,3,4	act/23	0	7	backprop	2-4	0.2	2	0.36434108527131776	0.6356589147286822	0.1372549019607843	0.5294117647058824
qwen3.5-9b	captain	succ-strong	2,3,4	act/23	0	7	succ-strong	6-8	0.2	all	0.3488372093023256	0.6434108527131783	0.1372549019607843	0.5294117647058824
qwen3.5-9b	captain	succ-near	2,3,4	act/23	0	7	succ-near	6-8	0.2	1	0.3643410852713178	0.6511627906976745	0.17647058823529407	0.5294117647058824
deepseek-8b	magentic	svd	9,10,11	ens-mid3	0	9			0.0		0.3550724637681159	0.6449275362318841	0.2222222222222222	0.6481481481481483
deepseek-8b	magentic	backprop	9,10,11	ens-mid3	0	9	backprop	24-32	0.4	2	0.3695652173913044	0.6449275362318841	0.2037037037037037	0.6481481481481481
deepseek-8b	magentic	succ-strong	9,10,11	ens-mid3	0	9	succ-strong	24-32	0.4	1	0.3768115942028985	0.6231884057971014	0.2222222222222222	0.6851851851851851
deepseek-8b	magentic	succ-near	9,10,11	ens-mid3	0	9	succ-near	24-32	0.6	5	0.3768115942028985	0.6086956521739131	0.2222222222222222	0.5925925925925927
deepseek-8b	captain	svd	2,3,4	act/29	0	11			0.0		0.4108527131782946	0.6434108527131784	0.2549019607843137	0.5294117647058824
deepseek-8b	captain	backprop	2,3,4	act/29	0	11	backprop	24-32	0.1	2	0.42635658914728686	0.6589147286821705	0.2941176470588235	0.5686274509803922
deepseek-8b	captain	succ-strong	2,3,4	act/29	0	11	succ-strong	24-32	0.4	5	0.42635658914728686	0.6511627906976745	0.2941176470588235	0.5490196078431372
deepseek-8b	captain	succ-near	2,3,4	act/29	0	11	succ-near	24-32	0.2	all	0.4108527131782946	0.6511627906976744	0.2549019607843137	0.5490196078431372
