strategy	position	pooling	method	c_begin	c_end	centered	weighted	threshold	seed	sel_by	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
svd	act/3	last	proj	1	6	False	False		1	test	0.25396825396825395	0.5396825396825397	0.4126984126984127	0.5873015873015873
svd	act/3	last	proj	1	8	False	False		2	test	0.25396825396825395	0.5396825396825397	0.36507936507936506	0.42857142857142855
svd	act/3	last	proj	1	13	False	False		3	test	0.2698412698412698	0.5238095238095238	0.38095238095238093	0.5238095238095238
svd	act/31	mean	proj	0	20	True	False		1	test	0.2857142857142857	0.5555555555555556	0.4126984126984127	0.5238095238095238
svd	act/31	mean	proj	1	19	False	False		2	test	0.2857142857142857	0.4603174603174603	0.38095238095238093	0.5714285714285714
svd	act/19	mean	proj	0	3	True	False		3	test	0.19047619047619047	0.49206349206349204	0.4126984126984127	0.5714285714285714
svd	act/7	last	proj	2	5	True	False		1	val	0.30158730158730157	0.5555555555555556	0.1746031746031746	0.47619047619047616
svd	act/3	last	proj	1	12	False	False		2	val	0.31746031746031744	0.5873015873015873	0.2857142857142857	0.38095238095238093
svd	act/7	last	proj	1	13	False	False		3	val	0.30158730158730157	0.5873015873015873	0.30158730158730157	0.5396825396825397
svd	act/15	mean	proj	10	12	True	False		1	val	0.4126984126984127	0.5396825396825397	0.23809523809523808	0.42857142857142855
svd	act/31_normed	mean	proj	0	20	True	False		2	val	0.36507936507936506	0.6190476190476191	0.31746031746031744	0.49206349206349204
svd	act/31	mean	proj	1	13	False	False		3	val	0.3492063492063492	0.5555555555555556	0.2698412698412698	0.47619047619047616
