model	source	target	convention	row	position	c_begin	c_end	layer_range	gamma	w	src_seeds	tgt_seeds	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
qwen3.5-9b	WW-AG	WW-AG	test	base	act/27	1	7		0.0		3,4,5	3,4,5	0.39153439153439146	0.5238095238095238	0.3544973544973544	0.5185185185185185
qwen3.5-9b	WW-AG	WW-AG	test	soap	act/27	1	7	0-2	0.6	1	3,4,5	3,4,5	0.4761904761904761	0.6031746031746031	0.41269841269841273	0.5767195767195767
qwen3.5-9b	WW-AG	WW-AG	val	base	act/27	1	5		0.0		3,4,5	3,4,5	0.3544973544973545	0.49206349206349204	0.38095238095238093	0.5132275132275131
qwen3.5-9b	WW-AG	WW-AG	val	soap	act/27	1	5	0-2	0.6	1	3,4,5	3,4,5	0.4074074074074074	0.5396825396825397	0.4338624338624338	0.5714285714285715
qwen3.5-9b	WW-AG	WW-HC	test	base	act/31_normed	0	2		0.0		3,4,5	13,14,15	0.2988505747126437	0.6666666666666666	0.1839080459770115	0.6436781609195402
qwen3.5-9b	WW-AG	WW-HC	test	soap	act/31_normed	0	2	0-2	0.2	1	3,4,5	13,14,15	0.3218390804597701	0.6551724137931035	0.16091954022988506	0.6091954022988506
qwen3.5-9b	WW-AG	WW-HC	val	base	act/31	0	4		0.0		3,4,5	13,14,15	0.25287356321839083	0.6666666666666666	0.21839080459770113	0.6436781609195402
qwen3.5-9b	WW-AG	WW-HC	val	soap	act/31	0	4	6-8	0.2	3	3,4,5	13,14,15	0.26436781609195403	0.6551724137931035	0.2413793103448276	0.5862068965517242
qwen3.5-9b	WW-AG	TE-Mag	test	base	act/23	0	3		0.0		3,4,5	15,16,17	0.1956521739130435	0.6884057971014492	0.11851851851851851	0.6814814814814815
qwen3.5-9b	WW-AG	TE-Mag	test	soap	act/23	0	3	6-8	1.0	4	3,4,5	15,16,17	0.2101449275362319	0.7246376811594203	0.11851851851851852	0.6592592592592593
qwen3.5-9b	WW-AG	TE-Mag	val	base	act/23	0	7		0.0		3,4,5	15,16,17	0.19565217391304346	0.6666666666666666	0.15555555555555556	0.674074074074074
qwen3.5-9b	WW-AG	TE-Mag	val	soap	act/23	0	7	0-2	0.1	2	3,4,5	15,16,17	0.1884057971014493	0.7101449275362319	0.17037037037037037	0.6962962962962963
qwen3.5-9b	WW-AG	TE-Cap	test	base	act/23	0	2		0.0		3,4,5	22,23,24	0.32558139534883723	0.6046511627906976	0.16666666666666666	0.5555555555555556
qwen3.5-9b	WW-AG	TE-Cap	test	soap	act/23	0	2	6-8	0.2	all	3,4,5	22,23,24	0.34108527131782945	0.6201550387596899	0.2222222222222222	0.5873015873015873
qwen3.5-9b	WW-AG	TE-Cap	val	base	ens-mid3	2	6		0.0		3,4,5	22,23,24	0.17054263565891473	0.5503875968992248	0.23015873015873015	0.6507936507936508
qwen3.5-9b	WW-AG	TE-Cap	val	soap	ens-mid3	2	6	6-8	0.6	1	3,4,5	22,23,24	0.17054263565891473	0.5736434108527132	0.24603174603174605	0.6428571428571429
