model	source	target	convention	row	position	c_begin	c_end	layer_range	gamma	w	src_seeds	tgt_seeds	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
deepseek-8b	TE-Cap	WW-AG	test	base	act/3	13	20		0.0		22,23,24	3,4,5	0.2857142857142857	0.49206349206349204	0.17989417989417988	0.4338624338624338
deepseek-8b	TE-Cap	WW-AG	test	soap	act/3	13	20	24-32	0.4	3	22,23,24	3,4,5	0.2962962962962963	0.4920634920634921	0.19576719576719573	0.43915343915343913
deepseek-8b	TE-Cap	WW-AG	val	base	act/10	2	20		0.0		22,23,24	3,4,5	0.19576719576719573	0.4021164021164021	0.2962962962962963	0.5291005291005291
deepseek-8b	TE-Cap	WW-AG	val	soap	act/10	2	20	24-32	0.6	2	22,23,24	3,4,5	0.291005291005291	0.5185185185185185	0.31216931216931215	0.544973544973545
deepseek-8b	TE-Cap	WW-HC	test	base	act/9	0	7		0.0		22,23,24	13,14,15	0.3218390804597701	0.5862068965517242	0.2298850574712644	0.6551724137931035
deepseek-8b	TE-Cap	WW-HC	test	soap	act/9	0	7	8-16	0.0	all	22,23,24	13,14,15	0.3218390804597701	0.5862068965517242	0.2298850574712644	0.6551724137931035
deepseek-8b	TE-Cap	WW-HC	val	base	act/13	0	17		0.0		22,23,24	13,14,15	0.20689655172413793	0.47126436781609193	0.2413793103448276	0.5632183908045977
deepseek-8b	TE-Cap	WW-HC	val	soap	act/13	0	17	8-16	0.0	all	22,23,24	13,14,15	0.20689655172413793	0.47126436781609193	0.2413793103448276	0.5632183908045977
deepseek-8b	TE-Cap	TE-Mag	test	base	act/14	0	20		0.0		22,23,24	15,16,17	0.2898550724637681	0.6521739130434783	0.22962962962962963	0.6296296296296297
deepseek-8b	TE-Cap	TE-Mag	test	soap	act/14	0	20	8-16	0.0	all	22,23,24	15,16,17	0.2898550724637681	0.6521739130434783	0.22962962962962963	0.6296296296296297
deepseek-8b	TE-Cap	TE-Mag	val	base	act/7	0	2		0.0		22,23,24	15,16,17	0.2028985507246377	0.5579710144927535	0.2888888888888889	0.5703703703703704
deepseek-8b	TE-Cap	TE-Mag	val	soap	act/7	0	2	24-32	0.1	1	22,23,24	15,16,17	0.18115942028985507	0.5434782608695653	0.2962962962962963	0.562962962962963
deepseek-8b	TE-Cap	TE-Cap	test	base	act/31_normed	0	18		0.0		22,23,24	22,23,24	0.40310077519379844	0.6356589147286822	0.24603174603174605	0.6190476190476191
deepseek-8b	TE-Cap	TE-Cap	test	soap	act/31_normed	0	18	8-16	0.2	all	22,23,24	22,23,24	0.42635658914728686	0.6511627906976744	0.2777777777777778	0.6031746031746031
deepseek-8b	TE-Cap	TE-Cap	val	base	act/31_normed	0	1		0.0		22,23,24	22,23,24	0.3255813953488372	0.5813953488372093	0.3253968253968254	0.6825396825396824
deepseek-8b	TE-Cap	TE-Cap	val	soap	act/31_normed	0	1	24-32	0.1	1	22,23,24	22,23,24	0.3643410852713178	0.6201550387596899	0.34920634920634924	0.6825396825396824
