dataset	subset	seed	available	n_test	n_missing	n_null_step	step_acc	agent_acc	agent_acc_substring
ww	algorithm-generated	3	True	63.0	0.0	0.0	0.3333333333333333	0.49206349206349204	0.49206349206349204
ww	algorithm-generated	4	True	63.0	0.0	0.0	0.23809523809523808	0.4603174603174603	0.4603174603174603
ww	algorithm-generated	5	True	63.0	0.0	0.0	0.31746031746031744	0.5396825396825397	0.5396825396825397
ww	hand-crafted	13	True	29.0	0.0	0.0	0.06896551724137931	0.4827586206896552	0.4827586206896552
ww	hand-crafted	14	True	29.0	0.0	0.0	0.20689655172413793	0.5172413793103449	0.5172413793103449
ww	hand-crafted	15	True	29.0	0.0	0.0	0.10344827586206896	0.5172413793103449	0.5172413793103449
traceelephant	magentic	15	True	46.0	0.0	0.0	0.043478260869565216	0.5869565217391305	0.5869565217391305
traceelephant	magentic	16	True	46.0	0.0	0.0	0.13043478260869565	0.5	0.5
traceelephant	magentic	17	True	46.0	0.0	0.0	0.06521739130434782	0.6521739130434783	0.6521739130434783
traceelephant	captain	22	False						
traceelephant	captain	23	False						
traceelephant	captain	24	False						
correct-error	arc	17	False						
correct-error	arc	18	False						
correct-error	arc	19	False						
correct-error	gaia	17	False						
correct-error	gaia	18	False						
correct-error	gaia	19	False						
correct-error	hotpot	17	False						
correct-error	hotpot	18	False						
correct-error	hotpot	19	False						
correct-error	math500	17	False						
correct-error	math500	18	False						
correct-error	math500	19	False						
correct-error	mmlu_pro	17	False						
correct-error	mmlu_pro	18	False						
correct-error	mmlu_pro	19	False						
correct-error	musique	17	False						
correct-error	musique	18	False						
correct-error	musique	19	False						
correct-error	wikimqa	17	False						
correct-error	wikimqa	18	False						
correct-error	wikimqa	19	False						
