with_gt	judge	method	dataset	subset	seed	seeds	n_preds	n_test	n_missing	n_null_step	step_acc	agent_acc	agent_acc_substring	family	train_seed
False	qwen3.5-9b	oat.s42	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.1746031746031746	0.4126984126984127	0.4126984126984127	oat	42
False	qwen3.5-9b	oat.s42	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.14285714285714285	0.4444444444444444	0.4444444444444444	oat	42
False	qwen3.5-9b	oat.s42	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.12698412698412698	0.38095238095238093	0.38095238095238093	oat	42
False	qwen3.5-9b	oat.s43	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.1746031746031746	0.36507936507936506	0.36507936507936506	oat	43
False	qwen3.5-9b	oat.s43	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.14285714285714285	0.3968253968253968	0.3968253968253968	oat	43
False	qwen3.5-9b	oat.s43	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.15873015873015872	0.3968253968253968	0.3968253968253968	oat	43
False	qwen3.5-9b	oat.s44	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.15873015873015872	0.38095238095238093	0.38095238095238093	oat	44
False	qwen3.5-9b	oat.s44	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.15873015873015872	0.4444444444444444	0.4444444444444444	oat	44
False	qwen3.5-9b	oat.s44	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.15873015873015872	0.38095238095238093	0.38095238095238093	oat	44
False	qwen3.5-9b	oat.s45	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.19047619047619047	0.38095238095238093	0.38095238095238093	oat	45
False	qwen3.5-9b	oat.s45	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.19047619047619047	0.4603174603174603	0.4603174603174603	oat	45
False	qwen3.5-9b	oat.s45	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.15873015873015872	0.3968253968253968	0.3968253968253968	oat	45
False	qwen3.5-9b	oat.s46	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.19047619047619047	0.3968253968253968	0.3968253968253968	oat	46
False	qwen3.5-9b	oat.s46	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.19047619047619047	0.4444444444444444	0.4444444444444444	oat	46
False	qwen3.5-9b	oat.s46	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.19047619047619047	0.3968253968253968	0.3968253968253968	oat	46
False	qwen3.5-9b	stepfinder.s42	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.20634920634920634	0.38095238095238093	0.38095238095238093	stepfinder	42
False	qwen3.5-9b	stepfinder.s42	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.15873015873015872	0.2698412698412698	0.2698412698412698	stepfinder	42
False	qwen3.5-9b	stepfinder.s42	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.14285714285714285	0.38095238095238093	0.38095238095238093	stepfinder	42
False	qwen3.5-9b	stepfinder.s43	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.14285714285714285	0.49206349206349204	0.49206349206349204	stepfinder	43
False	qwen3.5-9b	stepfinder.s43	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.12698412698412698	0.4126984126984127	0.4126984126984127	stepfinder	43
False	qwen3.5-9b	stepfinder.s43	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.14285714285714285	0.42857142857142855	0.42857142857142855	stepfinder	43
False	qwen3.5-9b	stepfinder.s44	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.1746031746031746	0.38095238095238093	0.38095238095238093	stepfinder	44
False	qwen3.5-9b	stepfinder.s44	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.14285714285714285	0.31746031746031744	0.31746031746031744	stepfinder	44
False	qwen3.5-9b	stepfinder.s44	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.12698412698412698	0.31746031746031744	0.31746031746031744	stepfinder	44
