seed	pooling	sel_by	source	position	method	c_begin	c_end	centered	weighted	undisc_step_acc_val	undisc_agent_acc_val	undisc_step_acc_test	undisc_agent_acc_test	svd_orient	layer_range	gamma	w	disc_step_acc_val	disc_agent_acc_val	disc_step_acc_test	disc_agent_acc_test	diff_step_acc_val	diff_agent_acc_val	diff_step_acc_test	diff_agent_acc_test
1	last	test	correct-full/magentic	act/27	proj	0	2	True	False	0.0888888888888888	0.5333333333333333	0.1739130434782608	0.6956521739130435	negate	2-4	0.5	4	0.0888888888888888	0.6	0.1304347826086956	0.7391304347826086	0.0	0.06666666666666665	-0.043478260869565216	0.04347826086956519
2	last	test	correct-full/magentic	act/11	norm_l1	0	0	False	False	0.1111111111111111	0.6666666666666666	0.2391304347826087	0.6086956521739131	negate	6-8	1.0	4	0.1333333333333333	0.6888888888888889	0.1956521739130435	0.717391304347826	0.0222222222222222	0.022222222222222254	-0.043478260869565216	0.10869565217391297
3	last	test	correct-full/magentic	act/3	norm_l2	0	0	False	False	0.0222222222222222	0.5111111111111111	0.217391304347826	0.5434782608695652	negate	4-6	1.0	5	0.1777777777777777	0.6888888888888889	0.1304347826086956	0.717391304347826	0.1555555555555555	0.1777777777777778	-0.0869565217391304	0.17391304347826086
1	mean	test	correct-full/magentic	act/27	proj	2	4	False	False	0.1555555555555555	0.6444444444444445	0.217391304347826	0.6956521739130435	negate	2-4	0.3	4	0.1777777777777777	0.7111111111111111	0.1739130434782608	0.6086956521739131	0.0222222222222222	0.06666666666666665	-0.04347826086956519	-0.08695652173913038
2	mean	test	correct-full/magentic	act/23	proj	2	4	False	False	0.1555555555555555	0.6444444444444445	0.217391304347826	0.6956521739130435	negate	2-4	0.7	3	0.2	0.7555555555555555	0.1521739130434782	0.5652173913043478	0.04444444444444451	0.11111111111111105	-0.06521739130434781	-0.13043478260869568
3	mean	test	correct-full/magentic	act/23	proj	2	3	True	False	0.0666666666666666	0.6888888888888889	0.1739130434782608	0.6739130434782609	negate	2-4	0.2	5	0.1333333333333333	0.6666666666666666	0.108695652173913	0.6086956521739131	0.06666666666666671	-0.022222222222222254	-0.06521739130434781	-0.06521739130434778
1	last	val	correct-full/magentic	act/7	proj	11	16	True	False	0.2222222222222222	0.5555555555555556	0.1304347826086956	0.5434782608695652	negate	6-8	0.6	all	0.2222222222222222	0.7777777777777778	0.108695652173913	0.5869565217391305	0.0	0.2222222222222222	-0.021739130434782594	0.0434782608695653
2	last	val	correct-full/magentic	act/3	proj	4	5	False	False	0.2	0.6888888888888889	0.108695652173913	0.6086956521739131	inverse	0-2	0.7	3	0.2	0.7111111111111111	0.108695652173913	0.6086956521739131	0.0	0.022222222222222254	0.0	0.0
3	last	val	correct-full/magentic	act/7	proj	18	20	True	False	0.1777777777777777	0.5111111111111111	0.1521739130434782	0.6086956521739131	negate	0-2	0.1	5	0.2444444444444444	0.7333333333333333	0.108695652173913	0.5434782608695652	0.06666666666666671	0.2222222222222222	-0.04347826086956519	-0.0652173913043479
1	mean	val	correct-full/magentic	act/23	proj	0	15	False	False	0.2222222222222222	0.6888888888888889	0.1521739130434782	0.6086956521739131	negate	0-2	0.0	1	0.2222222222222222	0.6888888888888889	0.1521739130434782	0.6086956521739131	0.0	0.0	0.0	0.0
2	mean	val	correct-full/magentic	act/27	proj	2	4	False	False	0.2222222222222222	0.7111111111111111	0.1956521739130435	0.717391304347826	negate	0-2	0.3	1	0.2444444444444444	0.8	0.1739130434782608	0.6739130434782609	0.0222222222222222	0.0888888888888889	-0.021739130434782677	-0.04347826086956519
3	mean	val	correct-full/magentic	act/27	proj	2	4	False	False	0.2444444444444444	0.7777777777777778	0.1739130434782608	0.6521739130434783	negate	2-4	0.5	1	0.2666666666666666	0.7333333333333333	0.108695652173913	0.782608695652174	0.0222222222222222	-0.04444444444444451	-0.06521739130434781	0.13043478260869568
