strategy	position	pooling	method	c_begin	c_end	centered	weighted	threshold	seed	sel_by	step_acc_val	agent_acc_val	step_acc_test	agent_acc_test
svd	act/5	last	proj	1	8	True	False		1	test	0.25396825396825395	0.42857142857142855	0.3492063492063492	0.5555555555555556
svd	act/4	last	proj	3	6	True	False		2	test	0.20634920634920634	0.4603174603174603	0.38095238095238093	0.5873015873015873
svd	act/4	last	proj	0	6	True	False		3	test	0.25396825396825395	0.4603174603174603	0.3968253968253968	0.6031746031746031
svd	act/6	mean	proj	6	11	True	False		1	test	0.25396825396825395	0.49206349206349204	0.3968253968253968	0.6507936507936508
svd	act/26	mean	proj	7	10	True	False		2	test	0.2222222222222222	0.4444444444444444	0.4126984126984127	0.5873015873015873
svd	act/1	mean	proj	10	20	False	False		3	test	0.2222222222222222	0.3968253968253968	0.4444444444444444	0.5873015873015873
svd	act/28	last	proj	6	10	False	False		1	val	0.3333333333333333	0.5714285714285714	0.23809523809523808	0.4444444444444444
svd	act/5	last	proj	15	17	True	False		2	val	0.36507936507936506	0.6190476190476191	0.2698412698412698	0.5238095238095238
svd	act/7	last	proj	8	10	False	False		3	val	0.3333333333333333	0.5555555555555556	0.2222222222222222	0.4444444444444444
svd	act/8	mean	norm_l2	0	0	False	False		1	val	0.4444444444444444	0.5714285714285714	0.2857142857142857	0.47619047619047616
svd	act/14	mean	norm_l2	0	0	False	False		2	val	0.4126984126984127	0.6190476190476191	0.30158730158730157	0.4444444444444444
svd	act/27	mean	proj	2	8	True	False		3	val	0.3968253968253968	0.5555555555555556	0.25396825396825395	0.42857142857142855
