model	subset	seed	traj_idx	n_steps	step_idx	role	base	final	rank	is_gold
qwen3.5-9b	captain	22	44	15	0	Orchestrator	0.0008294032304547727	0.0009129887912422419	9	False
qwen3.5-9b	captain	22	44	15	1	Orchestrator	0.000679504475556314	0.0007580358651466668	15	False
qwen3.5-9b	captain	22	44	15	2	WebServing_Expert	0.0009966344805434346	0.0010933035518974066	6	False
qwen3.5-9b	captain	22	44	15	3	Orchestrator	0.0007205756846815348	0.0007971530430950224	11	False
qwen3.5-9b	captain	22	44	15	4	WebServing_Expert	0.001066657598130405	0.001166636124253273	5	False
qwen3.5-9b	captain	22	44	15	5	Orchestrator	0.0007303052116185427	0.0008437404176220298	10	False
qwen3.5-9b	captain	22	44	15	6	WebServing_Expert	0.0011343518272042274	0.001228099805302918	3	False
qwen3.5-9b	captain	22	44	15	7	Orchestrator	0.0007618526578880847	0.0007618526578880847	14	False
qwen3.5-9b	captain	22	44	15	8	WebServing_Expert	0.0008648100192658603	0.0009765151189640164	8	False
qwen3.5-9b	captain	22	44	15	9	Orchestrator	0.0007666906458325684	0.0007666906458325684	13	False
qwen3.5-9b	captain	22	44	15	10	WebServing_Expert	0.0011102515272796154	0.0012173710856586695	4	False
qwen3.5-9b	captain	22	44	15	11	Orchestrator	0.0007670375634916127	0.0007670375634916127	12	False
qwen3.5-9b	captain	22	44	15	12	Verification_Expert	0.0011343492660671473	0.0012416691752150655	1	True
qwen3.5-9b	captain	22	44	15	13	Orchestrator	0.0009155982988886535	0.001038542715832591	7	False
qwen3.5-9b	captain	22	44	15	14	Orchestrator	0.0012294440530240536	0.0012294440530240536	2	False
