model	subset	row	seeds	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
qwen3.5-9b	algorithm-generated	svd	3,4,5	act/27	1	7			0.0		0.39153439153439146	0.5238095238095238	0.3846153846153846	0.5128205128205128
qwen3.5-9b	algorithm-generated	backprop	3,4,5	act/27	1	7	backprop	0-2	0.6	1	0.4761904761904761	0.6031746031746031	0.44871794871794873	0.576923076923077
qwen3.5-9b	algorithm-generated	succ-strong	3,4,5	act/27	1	7	succ-strong	0-2	0.8	4	0.4179894179894179	0.5555555555555555	0.35897435897435886	0.5384615384615384
qwen3.5-9b	algorithm-generated	succ-near	3,4,5	act/27	1	7	succ-near	0-2	0.8	all	0.4126984126984126	0.5555555555555555	0.3461538461538461	0.5128205128205128
qwen3.5-9b	hand-crafted	svd	13,14,15	act/31	0	5			0.0		0.3333333333333333	0.6781609195402298	0.19444444444444442	0.638888888888889
qwen3.5-9b	hand-crafted	backprop	13,14,15	act/31	0	5	backprop	4-6	0.1	2	0.3448275862068966	0.6781609195402298	0.19444444444444442	0.6111111111111112
qwen3.5-9b	hand-crafted	succ-strong	13,14,15	act/31	0	5	succ-strong	6-8	0.0	all	0.3333333333333333	0.6781609195402298	0.19444444444444442	0.638888888888889
qwen3.5-9b	hand-crafted	succ-near	13,14,15	act/31	0	5	succ-near	6-8	0.0	all	0.3333333333333333	0.6781609195402298	0.19444444444444442	0.638888888888889
deepseek-8b	algorithm-generated	svd	3,4,5	act/3	1	5			0.0		0.3862433862433862	0.5873015873015873	0.282051282051282	0.5512820512820512
deepseek-8b	algorithm-generated	backprop	3,4,5	act/3	1	5	backprop	24-32	1.0	1	0.45502645502645495	0.6190476190476191	0.3461538461538461	0.6153846153846154
deepseek-8b	algorithm-generated	succ-strong	3,4,5	act/3	1	5	succ-strong	0-8	1.0	2	0.41798941798941797	0.6137566137566137	0.3717948717948718	0.6410256410256411
deepseek-8b	algorithm-generated	succ-near	3,4,5	act/3	1	5	succ-near	0-8	1.0	2	0.4074074074074074	0.5978835978835979	0.33333333333333326	0.6153846153846153
deepseek-8b	hand-crafted	svd	13,14,15	act/31	0	4			0.0		0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
deepseek-8b	hand-crafted	backprop	13,14,15	act/31	0	4	backprop	8-16	0.0	all	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
deepseek-8b	hand-crafted	succ-strong	13,14,15	act/31	0	4	succ-strong	8-16	0.0	all	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
deepseek-8b	hand-crafted	succ-near	13,14,15	act/31	0	4	succ-near	8-16	0.0	all	0.28735632183908044	0.6551724137931035	0.11111111111111106	0.6111111111111112
