seed	pooling	sel_by	source	position	method	c_begin	c_end	centered	weighted	undisc_step_acc_val	undisc_agent_acc_val	undisc_step_acc_test	undisc_agent_acc_test	svd_orient	layer_range	gamma	w	disc_step_acc_val	disc_agent_acc_val	disc_step_acc_test	disc_agent_acc_test	diff_step_acc_val	diff_agent_acc_val	diff_step_acc_test	diff_agent_acc_test
1	last	test	correct-full/magentic	act/19	proj	11	16	True	False	0.1034482758620689	0.5862068965517241	0.3448275862068966	0.6206896551724138	negate	0-8	0.1	all	0.2068965517241379	0.5517241379310345	0.2758620689655172	0.6206896551724138	0.103448275862069	-0.03448275862068961	-0.06896551724137939	0.0
2	last	test	correct-full/magentic	act/24	proj	11	17	False	False	0.0344827586206896	0.4827586206896552	0.3103448275862069	0.7241379310344828	negate	24-32	1.0	4	0.1724137931034483	0.4137931034482758	0.1379310344827586	0.5517241379310345	0.13793103448275867	-0.06896551724137939	-0.17241379310344832	-0.1724137931034483
3	last	test	correct-full/magentic	act/8	proj	17	18	True	False	0.1034482758620689	0.6206896551724138	0.2758620689655172	0.5172413793103449	negate	0-8	0.5	3	0.2068965517241379	0.6896551724137931	0.1379310344827586	0.6206896551724138	0.103448275862069	0.06896551724137934	-0.1379310344827586	0.10344827586206895
1	mean	test	correct-full/magentic	act/31_normed	proj	0	3	False	False	0.1379310344827586	0.4827586206896552	0.2758620689655172	0.6896551724137931	inverse	0-8	0.7	2	0.1724137931034483	0.5517241379310345	0.2413793103448276	0.5172413793103449	0.034482758620689696	0.06896551724137928	-0.034482758620689585	-0.1724137931034483
2	mean	test	correct-full/magentic	act/1	proj	9	14	False	False	0.0	0.4137931034482758	0.2758620689655172	0.6206896551724138	negate	0-8	1.0	1	0.1724137931034483	0.5172413793103449	0.2758620689655172	0.5862068965517241	0.1724137931034483	0.10344827586206906	0.0	-0.034482758620689724
3	mean	test	correct-full/magentic	act/31_normed	proj	4	6	True	False	0.2068965517241379	0.6551724137931034	0.2413793103448276	0.6551724137931034	negate	0-8	0.0	1	0.2068965517241379	0.6551724137931034	0.2413793103448276	0.6551724137931034	0.0	0.0	0.0	0.0
1	last	val	correct-full/magentic	act/14	proj	8	11	False	False	0.2413793103448276	0.6206896551724138	0.1379310344827586	0.5862068965517241	inverse	8-16	0.8	2	0.2413793103448276	0.6896551724137931	0.1379310344827586	0.5862068965517241	0.0	0.06896551724137934	0.0	0.0
2	last	val	correct-full/magentic	act/20	proj	10	17	True	False	0.3103448275862069	0.5862068965517241	0.1379310344827586	0.6206896551724138	inverse	16-24	0.4	2	0.3103448275862069	0.6551724137931034	0.1034482758620689	0.6206896551724138	0.0	0.06896551724137934	-0.034482758620689696	0.0
3	last	val	correct-full/magentic	act/11	proj	2	15	False	False	0.2758620689655172	0.7586206896551724	0.1034482758620689	0.5517241379310345	negate	0-8	0.0	1	0.2758620689655172	0.7586206896551724	0.1034482758620689	0.5517241379310345	0.0	0.0	0.0	0.0
1	mean	val	correct-full/magentic	act/20	proj	14	17	False	False	0.2758620689655172	0.5862068965517241	0.1034482758620689	0.5517241379310345	negate	0-8	0.3	all	0.3103448275862069	0.6551724137931034	0.1379310344827586	0.5517241379310345	0.034482758620689724	0.06896551724137934	0.034482758620689696	0.0
2	mean	val	correct-full/magentic	act/31	proj	0	7	False	False	0.2413793103448276	0.5862068965517241	0.1034482758620689	0.6551724137931034	negate	8-16	0.3	all	0.3103448275862069	0.5517241379310345	0.1034482758620689	0.6206896551724138	0.06896551724137931	-0.03448275862068961	0.0	-0.03448275862068961
3	mean	val	correct-full/magentic	act/5	proj	17	18	False	False	0.2413793103448276	0.6896551724137931	0.1034482758620689	0.6206896551724138	negate	24-32	0.2	1	0.2413793103448276	0.7586206896551724	0.0689655172413793	0.4827586206896552	0.0	0.06896551724137923	-0.0344827586206896	-0.13793103448275862
