model	subset	seed	split	traj_idx	n_steps	step_idx	role	base	oriented	normalized	final	base_rank	final_rank	is_gold	is_base_pred	is_soap_pred
qwen3.5-9b	hand-crafted	15	test	23	73	1	Orchestrator (thought)	575.4712524414062	0.0017377062467858195	0.0017377062467858195	0.0018824172439053655	24	20	False	False	False
qwen3.5-9b	hand-crafted	15	test	23	73	2	Orchestrator (thought)	645.4542236328125	0.001549296546727419	0.001549296546727419	0.0016903025098145008	44	42	False	False	False
qwen3.5-9b	hand-crafted	15	test	23	73	3	Orchestrator (-> WebSurfer)	673.0004272460938	0.0014858831418678164	0.0014858831418678164	0.0014858831418678164	52	55	False	False	False
qwen3.5-9b	hand-crafted	15	test	23	73	4	WebSurfer	585.1168823242188	0.0017090602777898312	0.0017090602777898312	0.0018953171093016863	27	17	False	False	False
qwen3.5-9b	hand-crafted	15	test	23	73	5	Orchestrator (thought)	548.000732421875	0.00182481505908072	0.00182481505908072	0.0019953215960413218	12	9	False	False	False
qwen3.5-9b	hand-crafted	15	test	23	73	6	Orchestrator (-> WebSurfer)	635.8208618164062	0.0015727700665593147	0.0015727700665593147	0.0015727700665593147	39	49	False	False	False
qwen3.5-9b	hand-crafted	15	test	23	73	7	Orchestrator (thought)	1085.9022216796875	0.000920893216971308	0.000920893216971308	0.000920893216971308	72	73	False	False	False
qwen3.5-9b	hand-crafted	15	test	23	73	8	WebSurfer	385.6883850097656	0.002592766657471657	0.002592766657471657	0.0027370373718440533	2	1	True	False	True
qwen3.5-9b	hand-crafted	15	test	23	73	9	Orchestrator (thought)	548.0531616210938	0.0018246405525133014	0.0018246405525133014	0.0019518472254276276	13	14	False	False	False
qwen3.5-9b	hand-crafted	15	test	23	73	10	Orchestrator (-> WebSurfer)	639.162109375	0.0015645483508706093	0.0015645483508706093	0.0015645483508706093	41	50	False	False	False
qwen3.5-9b	hand-crafted	15	test	23	73	11	Orchestrator (thought)	1074.1392822265625	0.0009309779852628708	0.0009309779852628708	0.0009309779852628708	71	72	False	False	False
qwen3.5-9b	hand-crafted	15	test	23	73	12	Orchestrator (thought)	662.6381225585938	0.0015091192908585072	0.0015091192908585072	0.001681410358287394	48	43	False	False	False
qwen3.5-9b	hand-crafted	15	test	23	73	13	Orchestrator (-> Assistant)	662.3035278320312	0.0015098816948011518	0.0015098816948011518	0.0015098816948011518	47	52	False	False	False
