model	source	target	src_seeds	tgt_seeds	position	c_begin	c_end	row	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
qwen3.5-9b	WW-AG	WW-AG	3,4,5	3,4,5	act/27	1	7	base		0.0		0.39153439153439146	0.5238095238095238	0.3846153846153846	0.5128205128205128
qwen3.5-9b	WW-AG	WW-AG	3,4,5	3,4,5	act/27	1	7	soap	0-2	0.6	1	0.4761904761904761	0.6031746031746031	0.44871794871794873	0.576923076923077
qwen3.5-9b	WW-AG	WW-HC	3,4,5	13,14,15	act/31_normed	0	2	base		0.0		0.2988505747126437	0.6666666666666666	0.16666666666666666	0.638888888888889
qwen3.5-9b	WW-AG	WW-HC	3,4,5	13,14,15	act/31_normed	0	2	soap	0-2	0.2	1	0.3218390804597701	0.6551724137931035	0.16666666666666666	0.6111111111111112
qwen3.5-9b	WW-AG	TE-Mag	3,4,5	15,16,17	act/23	0	3	base		0.0		0.1956521739130435	0.6884057971014492	0.07407407407407407	0.6296296296296297
qwen3.5-9b	WW-AG	TE-Mag	3,4,5	15,16,17	act/23	0	3	soap	6-8	1.0	4	0.2101449275362319	0.7246376811594203	0.0925925925925926	0.5740740740740741
qwen3.5-9b	WW-AG	TE-Cap	3,4,5	22,23,24	act/23	0	2	base		0.0		0.32558139534883723	0.6046511627906976	0.1568627450980392	0.5490196078431372
qwen3.5-9b	WW-AG	TE-Cap	3,4,5	22,23,24	act/23	0	2	soap	6-8	0.2	all	0.34108527131782945	0.6201550387596899	0.21568627450980393	0.5686274509803922
qwen3.5-9b	WW-HC	WW-AG	13,14,15	3,4,5	embed	2	13	base		0.0		0.2962962962962963	0.49206349206349204	0.17948717948717952	0.35897435897435903
qwen3.5-9b	WW-HC	WW-AG	13,14,15	3,4,5	embed	2	13	soap	0-2	0.8	2	0.3544973544973544	0.5502645502645502	0.2692307692307692	0.4615384615384615
qwen3.5-9b	WW-HC	WW-HC	13,14,15	13,14,15	act/31	0	5	base		0.0		0.3333333333333333	0.6781609195402298	0.19444444444444442	0.638888888888889
qwen3.5-9b	WW-HC	WW-HC	13,14,15	13,14,15	act/31	0	5	soap	4-6	0.1	2	0.3448275862068966	0.6781609195402298	0.19444444444444442	0.6111111111111112
qwen3.5-9b	WW-HC	TE-Mag	13,14,15	15,16,17	act/23	0	5	base		0.0		0.2028985507246377	0.6521739130434782	0.1111111111111111	0.5370370370370371
qwen3.5-9b	WW-HC	TE-Mag	13,14,15	15,16,17	act/23	0	5	soap	6-8	0.8	4	0.2246376811594203	0.7318840579710145	0.1111111111111111	0.5925925925925927
qwen3.5-9b	WW-HC	TE-Cap	13,14,15	22,23,24	act/23	0	19	base		0.0		0.34108527131782945	0.5968992248062015	0.17647058823529413	0.5882352941176471
qwen3.5-9b	WW-HC	TE-Cap	13,14,15	22,23,24	act/23	0	19	soap	6-8	0.0	all	0.34108527131782945	0.5968992248062015	0.17647058823529413	0.5882352941176471
qwen3.5-9b	TE-Mag	WW-AG	15,16,17	3,4,5	act/15	7	17	base		0.0		0.2751322751322751	0.5132275132275133	0.2564102564102564	0.4743589743589744
qwen3.5-9b	TE-Mag	WW-AG	15,16,17	3,4,5	act/15	7	17	soap	4-6	0.1	2	0.2857142857142857	0.5238095238095238	0.2564102564102564	0.4743589743589744
qwen3.5-9b	TE-Mag	WW-HC	15,16,17	13,14,15	act/31_normed	0	1	base		0.0		0.2873563218390805	0.6436781609195402	0.16666666666666666	0.6111111111111112
qwen3.5-9b	TE-Mag	WW-HC	15,16,17	13,14,15	act/31_normed	0	1	soap	4-6	0.4	2	0.2988505747126437	0.6781609195402298	0.19444444444444442	0.638888888888889
qwen3.5-9b	TE-Mag	TE-Mag	15,16,17	15,16,17	act/23	0	2	base		0.0		0.2101449275362319	0.6159420289855072	0.14814814814814814	0.5185185185185185
qwen3.5-9b	TE-Mag	TE-Mag	15,16,17	15,16,17	act/23	0	2	soap	6-8	1.0	4	0.2318840579710145	0.6521739130434783	0.1111111111111111	0.5185185185185185
qwen3.5-9b	TE-Mag	TE-Cap	15,16,17	22,23,24	act/23	0	2	base		0.0		0.31007751937984496	0.6046511627906976	0.1568627450980392	0.5882352941176471
qwen3.5-9b	TE-Mag	TE-Cap	15,16,17	22,23,24	act/23	0	2	soap	2-4	1.0	1	0.34883720930232553	0.689922480620155	0.1568627450980392	0.6666666666666666
qwen3.5-9b	TE-Cap	WW-AG	22,23,24	3,4,5	act/7	11	12	base		0.0		0.24338624338624337	0.42857142857142855	0.2692307692307692	0.4743589743589744
qwen3.5-9b	TE-Cap	WW-AG	22,23,24	3,4,5	act/7	11	12	soap	6-8	1.0	1	0.2698412698412698	0.4656084656084656	0.28205128205128205	0.4743589743589743
qwen3.5-9b	TE-Cap	WW-HC	22,23,24	13,14,15	act/31_normed	0	1	base		0.0		0.3218390804597701	0.6551724137931035	0.19444444444444442	0.6666666666666666
qwen3.5-9b	TE-Cap	WW-HC	22,23,24	13,14,15	act/31_normed	0	1	soap	6-8	0.1	3	0.3333333333333333	0.6551724137931035	0.19444444444444442	0.638888888888889
qwen3.5-9b	TE-Cap	TE-Mag	22,23,24	15,16,17	act/23	0	8	base		0.0		0.18115942028985507	0.6521739130434783	0.0925925925925926	0.5555555555555556
qwen3.5-9b	TE-Cap	TE-Mag	22,23,24	15,16,17	act/23	0	8	soap	4-6	0.6	1	0.21739130434782608	0.746376811594203	0.12962962962962962	0.6111111111111112
qwen3.5-9b	TE-Cap	TE-Cap	22,23,24	22,23,24	act/23	0	3	base		0.0		0.3333333333333333	0.5813953488372093	0.19607843137254902	0.5686274509803922
qwen3.5-9b	TE-Cap	TE-Cap	22,23,24	22,23,24	act/23	0	3	soap	6-8	0.1	5	0.3565891472868217	0.6046511627906976	0.21568627450980393	0.5882352941176471
