dataset	model	subset	seeds	position	c_begin	c_end	width	row	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	6	perplexity	0.037037037037037035	0.12169312169312169	0.0	0.14102564102564105
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	6	random	0.13227513227513227	0.2222222222222222	0.15384615384615385	0.3205128205128205
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	6	top	0.12698412698412698	0.1693121693121693	0.08974358974358976	0.16666666666666669
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	6	tail	0.06349206349206349	0.31746031746031744	0.012820512820512822	0.20512820512820515
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	6	full	0.12169312169312169	0.164021164021164	0.08974358974358976	0.16666666666666669
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	6	norm-l1	0.18518518518518517	0.2804232804232804	0.25641025641025644	0.32051282051282054
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	6	norm-l2	0.14285714285714285	0.18518518518518517	0.08974358974358976	0.16666666666666669
ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	6	ours	0.3915343915343915	0.5238095238095238	0.38461538461538464	0.5128205128205128
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	5	perplexity	0.08045977011494253	0.47126436781609193	0.1111111111111111	0.3611111111111111
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	5	random	0.09195402298850575	0.48275862068965514	0.08333333333333333	0.5
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	5	top	0.3333333333333333	0.6781609195402298	0.19444444444444445	0.6388888888888888
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	5	tail	0.06896551724137931	0.4137931034482759	0.027777777777777776	0.3888888888888889
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	5	full	0.3103448275862069	0.6666666666666666	0.19444444444444445	0.6388888888888888
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	5	norm-l1	0.1839080459770115	0.5977011494252873	0.1388888888888889	0.6388888888888888
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	5	norm-l2	0.26436781609195403	0.6781609195402298	0.16666666666666666	0.5277777777777777
ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	5	ours	0.3333333333333333	0.6781609195402298	0.19444444444444445	0.6388888888888888
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	4	perplexity	0.042328042328042326	0.13227513227513227	0.025641025641025644	0.11538461538461539
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	4	random	0.10582010582010581	0.32275132275132273	0.12820512820512822	0.358974358974359
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	4	top	0.14285714285714285	0.31216931216931215	0.14102564102564102	0.39743589743589747
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	4	tail	0.10582010582010581	0.31216931216931215	0.11538461538461539	0.29487179487179493
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	4	full	0.1693121693121693	0.3862433862433862	0.14102564102564102	0.4358974358974359
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	4	norm-l1	0.3386243386243386	0.455026455026455	0.3076923076923077	0.4615384615384615
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	4	norm-l2	0.15873015873015872	0.3862433862433862	0.14102564102564102	0.3717948717948718
ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	4	ours	0.3862433862433862	0.5873015873015873	0.28205128205128205	0.5512820512820513
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	4	perplexity	0.14942528735632182	0.574712643678161	0.08333333333333333	0.4166666666666667
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	4	random	0.16091954022988506	0.5632183908045978	0.1111111111111111	0.4166666666666667
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	4	top	0.28735632183908044	0.6551724137931034	0.1111111111111111	0.611111111111111
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	4	tail	0.04597701149425287	0.36781609195402304	0.027777777777777776	0.3055555555555556
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	4	full	0.19540229885057472	0.6206896551724138	0.1111111111111111	0.6666666666666666
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	4	norm-l1	0.16091954022988506	0.5862068965517241	0.19444444444444442	0.5833333333333333
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	4	norm-l2	0.20689655172413793	0.5747126436781609	0.19444444444444445	0.611111111111111
ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	4	ours	0.28735632183908044	0.6551724137931034	0.1111111111111111	0.611111111111111
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	2	perplexity	0.07971014492753624	0.48550724637681164	0.037037037037037035	0.5185185185185185
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	2	random	0.07246376811594203	0.5942028985507246	0.037037037037037035	0.5555555555555556
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	2	top	0.21014492753623187	0.6159420289855072	0.14814814814814814	0.5185185185185186
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	2	tail	0.014492753623188406	0.6231884057971016	0.037037037037037035	0.5740740740740741
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	2	full	0.17391304347826086	0.6159420289855073	0.1111111111111111	0.5555555555555556
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	2	norm-l1	0.05072463768115942	0.4565217391304348	0.05555555555555555	0.537037037037037
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	2	norm-l2	0.15217391304347827	0.6521739130434783	0.1111111111111111	0.6111111111111112
traceelephant	qwen3.5-9b	magentic	15,16,17	act/23	0	2	2	ours	0.21014492753623187	0.6159420289855072	0.14814814814814814	0.5185185185185186
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	3	perplexity	0.06201550387596899	0.1937984496124031	0.058823529411764705	0.1568627450980392
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	3	random	0.17829457364341084	0.4263565891472868	0.13725490196078433	0.5098039215686274
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	3	top	0.33333333333333337	0.5813953488372093	0.19607843137254904	0.5686274509803921
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	3	tail	0.06201550387596899	0.2868217054263566	0.0392156862745098	0.21568627450980393
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	3	full	0.32558139534883723	0.5968992248062016	0.1764705882352941	0.607843137254902
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	3	norm-l1	0.15503875968992248	0.41860465116279066	0.17647058823529413	0.4509803921568628
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	3	norm-l2	0.2713178294573644	0.6124031007751938	0.13725490196078433	0.5686274509803922
traceelephant	qwen3.5-9b	captain	22,23,24	act/23	0	3	3	ours	0.33333333333333337	0.5813953488372093	0.19607843137254904	0.5686274509803921
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	4	perplexity	0.036231884057971016	0.3405797101449275	0.05555555555555555	0.3888888888888889
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	4	random	0.12318840579710144	0.5579710144927537	0.09259259259259259	0.6851851851851851
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	4	top	0.2971014492753623	0.6231884057971016	0.16666666666666666	0.5185185185185185
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	4	tail	0.050724637681159424	0.6376811594202898	0.05555555555555555	0.7037037037037037
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	4	full	0.2246376811594203	0.5797101449275363	0.14814814814814814	0.46296296296296297
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	4	norm-l1	0.08695652173913043	0.47101449275362317	0.1111111111111111	0.40740740740740744
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	4	norm-l2	0.09420289855072464	0.4782608695652174	0.09259259259259259	0.3703703703703704
traceelephant	deepseek-8b	magentic	15,16,17	act/10	0	4	4	ours	0.2971014492753623	0.6231884057971016	0.16666666666666666	0.5185185185185185
traceelephant	deepseek-8b	captain	22,23,24	act/31_normed	0	18	18	perplexity	0.05426356589147287	0.18604651162790697	0.09803921568627451	0.19607843137254904
traceelephant	deepseek-8b	captain	22,23,24	act/31_normed	0	18	18	random	0.12403100775193798	0.41860465116279066	0.09803921568627451	0.47058823529411764
traceelephant	deepseek-8b	captain	22,23,24	act/31_normed	0	18	18	top	0.40310077519379844	0.6356589147286822	0.2549019607843137	0.6078431372549019
traceelephant	deepseek-8b	captain	22,23,24	act/31_normed	0	18	18	tail	0.18604651162790697	0.46511627906976744	0.11764705882352941	0.5490196078431373
traceelephant	deepseek-8b	captain	22,23,24	act/31_normed	0	18	18	full	0.39534883720930236	0.62015503875969	0.27450980392156865	0.6078431372549019
traceelephant	deepseek-8b	captain	22,23,24	act/31_normed	0	18	18	norm-l1	0.20155038759689925	0.5426356589147286	0.09803921568627451	0.47058823529411764
traceelephant	deepseek-8b	captain	22,23,24	act/31_normed	0	18	18	norm-l2	0.26356589147286824	0.5891472868217055	0.19607843137254904	0.5686274509803921
traceelephant	deepseek-8b	captain	22,23,24	act/31_normed	0	18	18	ours	0.40310077519379844	0.6356589147286822	0.2549019607843137	0.6078431372549019
