with_gt	judge	method	dataset	subset	seed	seeds	n_preds	n_test	n_missing	n_null_step	step_acc	agent_acc	agent_acc_substring
False	gpt-4o	all_at_once	ww	algorithm-generated	3	3,4,5	126	63	0	1	0.15873015873015872	0.5238095238095238	0.5238095238095238
False	gpt-4o	all_at_once	ww	algorithm-generated	4	3,4,5	126	63	0	1	0.1746031746031746	0.5238095238095238	0.5238095238095238
False	gpt-4o	all_at_once	ww	algorithm-generated	5	3,4,5	126	63	0	1	0.1111111111111111	0.5555555555555556	0.5555555555555556
False	gpt-4o	step_by_step	ww	algorithm-generated	3	3,4,5	126	63	0	4	0.20634920634920634	0.31746031746031744	0.31746031746031744
False	gpt-4o	step_by_step	ww	algorithm-generated	4	3,4,5	126	63	0	8	0.2222222222222222	0.30158730158730157	0.30158730158730157
False	gpt-4o	step_by_step	ww	algorithm-generated	5	3,4,5	126	63	0	11	0.19047619047619047	0.2857142857142857	0.2857142857142857
False	gpt-4o	binary_search	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.25396825396825395	0.6031746031746031	0.6031746031746031
False	gpt-4o	binary_search	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.23809523809523808	0.5873015873015873	0.5873015873015873
False	gpt-4o	binary_search	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.1746031746031746	0.5714285714285714	0.5714285714285714
False	gpt-4o	correct	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.15873015873015872	0.5079365079365079	0.5079365079365079
False	gpt-4o	correct	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.15873015873015872	0.5555555555555556	0.5555555555555556
False	gpt-4o	correct	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.14285714285714285	0.5714285714285714	0.5714285714285714
False	gpt-4o	chief	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.20634920634920634	0.3492063492063492	0.3492063492063492
False	gpt-4o	chief	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.2698412698412698	0.42857142857142855	0.42857142857142855
