column	with_gt	judge	method	step_acc	agent_acc	n_subsets
WW-AG	False	gpt-4o	all_at_once	0.14814814814814814	0.5343915343915344	1
WW-AG	False	gpt-4o	binary_search	0.2222222222222222	0.5873015873015873	1
WW-AG	False	gpt-4o	chief	0.25925925925925924	0.4021164021164021	1
WW-AG	False	gpt-4o	correct	0.15343915343915343	0.544973544973545	1
WW-AG	False	gpt-4o	step_by_step	0.20634920634920637	0.30158730158730157	1
WW-AG	False	gpt-5	all_at_once	0.1851851851851852	0.6190476190476191	1
WW-AG	False	gpt-5	binary_search	0.41798941798941797	0.5978835978835978	1
WW-AG	False	gpt-5	chief	0.2751322751322751	0.5238095238095237	1
WW-AG	False	gpt-5	correct	0.2486772486772487	0.5873015873015873	1
WW-AG	False	gpt-5	step_by_step	0.24338624338624337	0.4656084656084656	1
WW-AG	True	gpt-4o	all_at_once	0.15873015873015872	0.5767195767195767	1
WW-AG	True	gpt-4o	binary_search	0.2857142857142857	0.5502645502645502	1
WW-AG	True	gpt-4o	chief	0.24338624338624337	0.4497354497354497	1
WW-AG	True	gpt-4o	correct	0.15873015873015872	0.544973544973545	1
WW-AG	True	gpt-4o	step_by_step	0.22751322751322753	0.34920634920634913	1
WW-AG	True	gpt-5	all_at_once	0.17989417989417988	0.7142857142857143	1
WW-AG	True	gpt-5	binary_search	0.4708994708994709	0.6666666666666666	1
WW-AG	True	gpt-5	chief	0.2962962962962963	0.4708994708994709	1
WW-AG	True	gpt-5	correct	0.328042328042328	0.6666666666666666	1
WW-AG	True	gpt-5	step_by_step	0.2804232804232804	0.5396825396825397	1
WW-HC	False	gpt-4o	all_at_once	0.06896551724137931	0.5977011494252874	1
WW-HC	False	gpt-4o	binary_search	0.04597701149425287	0.1264367816091954	1
WW-HC	False	gpt-4o	chief	0.14942528735632185	0.4827586206896552	1
WW-HC	False	gpt-4o	correct	0.04597701149425287	0.5402298850574713	1
WW-HC	False	gpt-4o	step_by_step	0.13793103448275862	0.4942528735632184	1
WW-HC	False	gpt-5	all_at_once	0.04597701149425287	0.4597701149425288	1
WW-HC	False	gpt-5	binary_search	0.21839080459770113	0.6091954022988505	1
WW-HC	False	gpt-5	chief	0.2528735632183908	0.632183908045977	1
WW-HC	False	gpt-5	correct	0.13793103448275862	0.5057471264367817	1
WW-HC	False	gpt-5	step_by_step	0.1839080459770115	0.47126436781609193	1
WW-HC	True	gpt-4o	all_at_once	0.034482758620689655	0.5862068965517241	1
WW-HC	True	gpt-4o	binary_search	0.04597701149425287	0.09195402298850575	1
WW-HC	True	gpt-4o	chief	0.1149425287356322	0.5402298850574713	1
WW-HC	True	gpt-4o	correct	0.04597701149425287	0.632183908045977	1
WW-HC	True	gpt-4o	step_by_step	0.1839080459770115	0.6206896551724138	1
WW-HC	True	gpt-5	all_at_once	0.09195402298850575	0.40229885057471265	1
WW-HC	True	gpt-5	binary_search	0.2413793103448276	0.5977011494252874	1
WW-HC	True	gpt-5	chief	0.1839080459770115	0.6091954022988505	1
WW-HC	True	gpt-5	correct	0.21839080459770113	0.5172413793103449	1
WW-HC	True	gpt-5	step_by_step	0.2413793103448276	0.5172413793103449	1
CE	False	gpt-4o	all_at_once	0.2839441309445664	0.7885976898823205	7
CE	False	gpt-4o	binary_search	0.09697625505315759	0.11936506358651212	7
CE	False	gpt-4o	chief	0.3855625987002639	0.7027551367827461	7
CE	False	gpt-4o	correct	0.3512062140888075	0.7605782936646562	7
CE	False	gpt-4o	step_by_step	0.44470211277193517	0.5195128727749412	7
CE	False	gpt-5	all_at_once	0.6414817785753938	0.8062350726532854	7
CE	False	gpt-5	binary_search	0.7571301587349687	0.7853933061832269	7
CE	False	gpt-5	correct	0.351983973720223	0.8121688771771198	7
CE	False	gpt-5	step_by_step	0.64383108116395	0.7045432928911456	7
CE	True	gpt-4o	all_at_once	0.24495085783546386	0.8023878492939467	7
CE	True	gpt-4o	binary_search	0.18436341179514987	0.1971136106459548	7
CE	True	gpt-4o	chief	0.4209979250708085	0.686159475968451	7
CE	True	gpt-4o	correct	0.37088793168987666	0.7802015939173774	7
CE	True	gpt-4o	step_by_step	0.5928527497371859	0.65156953083424	7
CE	True	gpt-5	all_at_once	0.6451490454855813	0.8076094246834999	7
CE	True	gpt-5	binary_search	0.774214916270788	0.7923322349518535	7
CE	True	gpt-5	correct	0.38251763411458056	0.80403565785803	7
CE	True	gpt-5	step_by_step	0.6649380696688707	0.7212319036588946	7
TE-Cap	False	gpt-4o	all_at_once	0.1627906976744186	0.6744186046511628	1
TE-Cap	False	gpt-4o	binary_search	0.09302325581395349	0.20930232558139536	1
TE-Cap	False	gpt-4o	chief	0.13953488372093023	0.6046511627906976	1
TE-Cap	False	gpt-4o	correct	0.10852713178294575	0.6666666666666666	1
TE-Cap	False	gpt-4o	step_by_step	0.13953488372093023	0.4728682170542635	1
TE-Cap	False	gpt-5	all_at_once	0.10852713178294575	0.6356589147286822	1
TE-Cap	False	gpt-5	binary_search	0.24031007751937983	0.5658914728682171	1
TE-Cap	False	gpt-5	chief	0.22480620155038758	0.5193798449612403	1
TE-Cap	False	gpt-5	correct	0.20930232558139536	0.627906976744186	1
TE-Cap	False	gpt-5	step_by_step	0.17829457364341086	0.5038759689922481	1
TE-Cap	True	gpt-4o	all_at_once	0.09302325581395349	0.6434108527131782	1
TE-Cap	True	gpt-4o	binary_search	0.09302325581395349	0.2868217054263566	1
TE-Cap	True	gpt-4o	chief	0.14728682170542637	0.5968992248062016	1
TE-Cap	True	gpt-4o	correct	0.10852713178294575	0.6666666666666666	1
TE-Cap	True	gpt-4o	step_by_step	0.18604651162790697	0.5348837209302325	1
TE-Cap	True	gpt-5	all_at_once	0.10852713178294575	0.6434108527131782	1
TE-Cap	True	gpt-5	binary_search	0.31007751937984496	0.6666666666666666	1
TE-Cap	True	gpt-5	chief	0.14728682170542637	0.4108527131782946	1
TE-Cap	True	gpt-5	correct	0.2713178294573643	0.5968992248062016	1
TE-Cap	True	gpt-5	step_by_step	0.20155038759689922	0.5193798449612402	1
TE-Mag	False	gpt-4o	all_at_once	0.057971014492753624	0.6666666666666666	1
TE-Mag	False	gpt-4o	binary_search	0.06521739130434782	0.5072463768115942	1
TE-Mag	False	gpt-4o	chief	0.08695652173913043	0.6449275362318841	1
TE-Mag	False	gpt-4o	correct	0.13768115942028983	0.7608695652173912	1
TE-Mag	False	gpt-4o	step_by_step	0.13043478260869565	0.5362318840579711	1
TE-Mag	False	gpt-5	all_at_once	0.10869565217391304	0.6811594202898551	1
TE-Mag	False	gpt-5	binary_search	0.2028985507246377	0.6956521739130435	1
TE-Mag	False	gpt-5	chief	0.16666666666666666	0.6304347826086957	1
TE-Mag	False	gpt-5	correct	0.23913043478260868	0.6956521739130435	1
TE-Mag	False	gpt-5	step_by_step	0.06521739130434782	0.6521739130434783	1
TE-Mag	True	gpt-4o	all_at_once	0.06521739130434782	0.6811594202898551	1
TE-Mag	True	gpt-4o	binary_search	0.06521739130434782	0.4855072463768116	1
TE-Mag	True	gpt-4o	chief	0.13768115942028986	0.572463768115942	1
TE-Mag	True	gpt-4o	correct	0.10144927536231883	0.6304347826086957	1
TE-Mag	True	gpt-4o	step_by_step	0.19565217391304346	0.6811594202898551	1
TE-Mag	True	gpt-5	all_at_once	0.13768115942028986	0.6956521739130435	1
TE-Mag	True	gpt-5	binary_search	0.2536231884057971	0.7246376811594203	1
TE-Mag	True	gpt-5	chief	0.2246376811594203	0.5579710144927535	1
TE-Mag	True	gpt-5	correct	0.2028985507246377	0.6666666666666666	1
TE-Mag	True	gpt-5	step_by_step	0.15217391304347827	0.7536231884057972	1
