with_gt	judge	method	dataset	subset	seeds	n_preds	n_test	n_missing	n_null_step	step_acc	agent_acc	agent_acc_substring
False	gpt-4o	all_at_once	correct-error	arc	17,18,19	304	152.0	0	0.0	0.5153508771929824	0.8903508771929824	0.8903508771929824
False	gpt-4o	all_at_once	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.28	0.8133333333333334	0.8133333333333334
False	gpt-4o	all_at_once	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.1372549019607843	0.7497116493656287	0.7497116493656287
False	gpt-4o	all_at_once	correct-error	math500	17,18,19	157	79.0	0	0.0	0.3713080168776371	0.6582278481012658	0.6582278481012658
False	gpt-4o	all_at_once	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.4492753623188406	0.8768115942028984	0.8768115942028984
False	gpt-4o	all_at_once	correct-error	musique	17,18,19	312	156.0	0	0.0	0.12179487179487179	0.7542735042735043	0.7542735042735043
False	gpt-4o	all_at_once	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.11262488646684832	0.7774750227066304	0.7774750227066304
False	gpt-4o	all_at_once	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.1627906976744186	0.6744186046511628	0.6744186046511628
False	gpt-4o	all_at_once	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.057971014492753624	0.6666666666666666	0.6666666666666666
False	gpt-4o	all_at_once	ww	algorithm-generated	3,4,5	126	63.0	0	1.0	0.14814814814814814	0.5343915343915344	0.5343915343915344
False	gpt-4o	all_at_once	ww	hand-crafted	13,14,15	58	29.0	0	0.3333333333333333	0.06896551724137931	0.5977011494252874	0.5977011494252874
False	gpt-4o	binary_search	correct-error	arc	17,18,19	304	152.0	0	0.0	0.2456140350877193	0.2236842105263158	0.2236842105263158
False	gpt-4o	binary_search	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.0	0.05333333333333334	0.05333333333333334
False	gpt-4o	binary_search	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.1107266435986159	0.17301038062283736	0.17301038062283736
False	gpt-4o	binary_search	correct-error	math500	17,18,19	157	79.0	0	0.0	0.10970464135021096	0.10126582278481013	0.10126582278481013
False	gpt-4o	binary_search	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.07971014492753624	0.043478260869565216	0.043478260869565216
False	gpt-4o	binary_search	correct-error	musique	17,18,19	312	156.0	0	0.0	0.05769230769230769	0.08547008547008546	0.08547008547008546
False	gpt-4o	binary_search	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.07538601271571299	0.1553133514986376	0.1553133514986376
False	gpt-4o	binary_search	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.09302325581395349	0.20930232558139536	0.20930232558139536
False	gpt-4o	binary_search	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.06521739130434782	0.5072463768115942	0.5072463768115942
False	gpt-4o	binary_search	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.2222222222222222	0.5873015873015873	0.5873015873015873
False	gpt-4o	binary_search	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.04597701149425287	0.1264367816091954	0.1264367816091954
False	gpt-4o	chief	correct-error	arc	17,18,19	304	152.0	0	0.0	0.7149122807017543	0.8793859649122807	0.8793859649122807
False	gpt-4o	chief	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.3333333333333333	0.6266666666666666	0.6266666666666666
False	gpt-4o	chief	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.22029988465974626	0.6793540945790081	0.6793540945790081
False	gpt-4o	chief	correct-error	math500	17,18,19	157	79.0	0	0.0	0.3628691983122363	0.5654008438818565	0.5654008438818565
False	gpt-4o	chief	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.6376811594202899	0.8115942028985508	0.8115942028985508
False	gpt-4o	chief	correct-error	musique	17,18,19	312	156.0	0	0.0	0.2136752136752137	0.732905982905983	0.732905982905983
False	gpt-4o	chief	correct-error	wikimqa	17,18,19	733	367.0	0	1.3333333333333333	0.2161671207992734	0.6239782016348774	0.6239782016348774
False	gpt-4o	chief	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.13953488372093023	0.6046511627906976	0.6046511627906976
False	gpt-4o	chief	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.08695652173913043	0.6449275362318841	0.6449275362318841
False	gpt-4o	chief	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.25925925925925924	0.4021164021164021	0.4021164021164021
False	gpt-4o	chief	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.14942528735632185	0.4827586206896552	0.4827586206896552
False	gpt-4o	correct	correct-error	arc	17,18,19	304	152.0	0	2.0	0.6732456140350878	0.8815789473684211	0.8815789473684211
False	gpt-4o	correct	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.25333333333333335	0.7066666666666667	0.7066666666666667
False	gpt-4o	correct	correct-error	hotpot	17,18,19	578	289.0	0	2.0	0.18339100346020762	0.7335640138408305	0.7335640138408305
False	gpt-4o	correct	correct-error	math500	17,18,19	157	79.0	0	0.6666666666666666	0.46835443037974683	0.6202531645569621	0.6202531645569621
False	gpt-4o	correct	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.6159420289855072	0.8840579710144927	0.8840579710144927
False	gpt-4o	correct	correct-error	musique	17,18,19	312	156.0	0	2.3333333333333335	0.13247863247863248	0.7649572649572649	0.7649572649572649
False	gpt-4o	correct	correct-error	wikimqa	17,18,19	733	367.0	0	3.3333333333333335	0.13169845594913715	0.7329700272479563	0.7329700272479563
False	gpt-4o	correct	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.10852713178294575	0.6666666666666666	0.6666666666666666
False	gpt-4o	correct	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.13768115942028983	0.7608695652173912	0.7608695652173912
False	gpt-4o	correct	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.15343915343915343	0.544973544973545	0.544973544973545
False	gpt-4o	correct	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.04597701149425287	0.5402298850574713	0.5402298850574713
False	gpt-4o	raffles	correct-error	arc	17,18,19	304	152.0	0	0.0	0.8223684210526315	0.8925438596491229	0.8925438596491229
False	gpt-4o	raffles	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.6533333333333333	0.8266666666666667	0.8266666666666667
False	gpt-4o	raffles	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.5778546712802769	0.7739331026528259	0.7739331026528259
False	gpt-4o	raffles	correct-error	math500	17,18,19	157	79.0	0	0.0	0.5696202531645569	0.5991561181434599	0.5991561181434599
False	gpt-4o	raffles	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.746376811594203	0.8623188405797101	0.8623188405797101
False	gpt-4o	raffles	correct-error	musique	17,18,19	312	156.0	0	0.0	0.48290598290598297	0.7756410256410257	0.7756410256410257
False	gpt-4o	raffles	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.6430517711171663	0.787465940054496	0.787465940054496
False	gpt-4o	raffles	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.24806201550387597	0.627906976744186	0.627906976744186
False	gpt-4o	raffles	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.17391304347826086	0.6014492753623188	0.6014492753623188
False	gpt-4o	raffles	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.42857142857142855	0.5873015873015873	0.5873015873015873
False	gpt-4o	raffles	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.2528735632183908	0.5172413793103449	0.5172413793103449
False	gpt-4o	step_by_step	correct-error	arc	17,18,19	304	152.0	0	20.666666666666668	0.712719298245614	0.7346491228070176	0.7346491228070176
False	gpt-4o	step_by_step	correct-error	gaia	17,18,19	50	25.0	0	5.333333333333333	0.17333333333333334	0.29333333333333333	0.29333333333333333
False	gpt-4o	step_by_step	correct-error	hotpot	17,18,19	578	289.0	0	41.666666666666664	0.44405997693194926	0.5397923875432525	0.5397923875432525
False	gpt-4o	step_by_step	correct-error	math500	17,18,19	157	79.0	0	24.0	0.379746835443038	0.3333333333333333	0.3333333333333333
False	gpt-4o	step_by_step	correct-error	mmlu_pro	17,18,19	92	46.0	0	7.333333333333333	0.644927536231884	0.6956521739130435	0.6956521739130435
False	gpt-4o	step_by_step	correct-error	musique	17,18,19	312	156.0	0	28.333333333333332	0.37393162393162394	0.5021367521367521	0.5021367521367521
False	gpt-4o	step_by_step	correct-error	wikimqa	17,18,19	733	367.0	0	66.66666666666667	0.38419618528610355	0.5376930063578564	0.5376930063578564
False	gpt-4o	step_by_step	traceelephant	captain	22,23,24	85	43.0	0	10.666666666666666	0.13953488372093023	0.4728682170542635	0.4728682170542635
False	gpt-4o	step_by_step	traceelephant	magentic	15,16,17	91	46.0	0	12.333333333333334	0.13043478260869565	0.5362318840579711	0.5362318840579711
False	gpt-4o	step_by_step	ww	algorithm-generated	3,4,5	126	63.0	0	7.666666666666667	0.20634920634920637	0.30158730158730157	0.30158730158730157
False	gpt-4o	step_by_step	ww	hand-crafted	13,14,15	58	29.0	0	4.333333333333333	0.13793103448275862	0.4942528735632184	0.4942528735632184
False	gpt-5	all_at_once	correct-error	arc	17,18,19	304	152.0	0	0.0	0.7346491228070176	0.9078947368421053	0.9078947368421053
False	gpt-5	all_at_once	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.5333333333333333	0.7733333333333334	0.7733333333333334
False	gpt-5	all_at_once	correct-error	hotpot	17,18,19	578	289.0	0	1.6666666666666667	0.629757785467128	0.7877739331026529	0.7877739331026529
False	gpt-5	all_at_once	correct-error	math500	17,18,19	157	79.0	0	1.0	0.7383966244725739	0.6751054852320676	0.6751054852320676
False	gpt-5	all_at_once	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.7391304347826088	0.8768115942028984	0.8768115942028984
False	gpt-5	all_at_once	correct-error	musique	17,18,19	312	156.0	0	2.3333333333333335	0.5256410256410257	0.80982905982906	0.80982905982906
False	gpt-5	all_at_once	correct-error	wikimqa	17,18,19	733	367.0	0	0.6666666666666666	0.5894641235240691	0.812897366030881	0.812897366030881
False	gpt-5	all_at_once	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.10852713178294575	0.6356589147286822	0.6356589147286822
False	gpt-5	all_at_once	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.10869565217391304	0.6811594202898551	0.6811594202898551
False	gpt-5	all_at_once	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.1851851851851852	0.6190476190476191	0.6190476190476191
False	gpt-5	all_at_once	ww	hand-crafted	13,14,15	58	29.0	0	0.3333333333333333	0.04597701149425287	0.4597701149425288	0.4597701149425288
False	gpt-5	binary_search	correct-error	arc	17,18,19	304	152.0	0	0.0	0.9100877192982456	0.9035087719298246	0.9035087719298246
False	gpt-5	binary_search	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.8266666666666667	0.7600000000000001	0.7600000000000001
False	gpt-5	binary_search	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.6066897347174164	0.734717416378316	0.734717416378316
False	gpt-5	binary_search	correct-error	math500	17,18,19	157	79.0	0	0.0	0.8016877637130801	0.6540084388185654	0.6540084388185654
False	gpt-5	binary_search	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.8840579710144927	0.8985507246376812	0.8985507246376812
False	gpt-5	binary_search	correct-error	musique	17,18,19	312	156.0	0	0.0	0.6367521367521367	0.8012820512820512	0.8012820512820512
False	gpt-5	binary_search	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.633969118982743	0.7456857402361491	0.7456857402361491
False	gpt-5	binary_search	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.24031007751937983	0.5658914728682171	0.5658914728682171
False	gpt-5	binary_search	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.2028985507246377	0.6956521739130435	0.6956521739130435
False	gpt-5	binary_search	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.41798941798941797	0.5978835978835978	0.5978835978835978
False	gpt-5	binary_search	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.21839080459770113	0.6091954022988505	0.6091954022988505
False	gpt-5	chief	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.22480620155038758	0.5193798449612403	0.5193798449612403
False	gpt-5	chief	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.16666666666666666	0.6304347826086957	0.6304347826086957
False	gpt-5	chief	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.2751322751322751	0.5238095238095237	0.5238095238095237
False	gpt-5	chief	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.2528735632183908	0.632183908045977	0.632183908045977
False	gpt-5	correct	correct-error	arc	17,18,19	304	152.0	0	0.0	0.5087719298245613	0.899122807017544	0.899122807017544
False	gpt-5	correct	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.4266666666666667	0.7866666666666667	0.7866666666666667
False	gpt-5	correct	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.3033448673587082	0.795847750865052	0.795847750865052
