dataset	model	subset	seeds	fraction	n_train	position	c_begin	c_end	row	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
ww	qwen3.5-9b	algorithm-generated	3,4,5	1/3	12,12,12	act/27	1	11	base		0.0		0.35978835978835977	0.5026455026455027	0.3333333333333333	0.5128205128205128
ww	qwen3.5-9b	algorithm-generated	3,4,5	1/3	12,12,12	act/27	1	11	soap	0-2	0.8	1	0.4338624338624338	0.5714285714285715	0.4102564102564103	0.5897435897435898
ww	qwen3.5-9b	algorithm-generated	3,4,5	2/3	25,25,25	act/27	1	12	base		0.0		0.38095238095238093	0.5502645502645502	0.358974358974359	0.5128205128205128
ww	qwen3.5-9b	algorithm-generated	3,4,5	2/3	25,25,25	act/27	1	12	soap	0-2	0.2	1	0.4444444444444444	0.5925925925925926	0.4102564102564103	0.5512820512820512
ww	qwen3.5-9b	algorithm-generated	3,4,5	1	37,37,37	act/27	1	7	base		0.0		0.39153439153439146	0.5238095238095238	0.3846153846153846	0.5128205128205128
ww	qwen3.5-9b	algorithm-generated	3,4,5	1	37,37,37	act/27	1	7	soap	0-2	0.6	1	0.4761904761904761	0.6031746031746031	0.44871794871794873	0.576923076923077
ww	qwen3.5-9b	hand-crafted	13,14,15	1/3	6,6,6	act/31	0	6	base		0.0		0.3333333333333333	0.6781609195402298	0.19444444444444442	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	13,14,15	1/3	6,6,6	act/31	0	6	soap	6-8	0.0	all	0.3333333333333333	0.6781609195402298	0.19444444444444442	0.5833333333333334
ww	qwen3.5-9b	hand-crafted	13,14,15	2/3	11,11,11	act/31	0	5	base		0.0		0.3333333333333333	0.6781609195402298	0.19444444444444442	0.638888888888889
ww	qwen3.5-9b	hand-crafted	13,14,15	2/3	11,11,11	act/31	0	5	soap	6-8	0.0	all	0.3333333333333333	0.6781609195402298	0.19444444444444442	0.638888888888889
ww	qwen3.5-9b	hand-crafted	13,14,15	1	17,17,17	act/31	0	5	base		0.0		0.3333333333333333	0.6781609195402298	0.19444444444444442	0.638888888888889
ww	qwen3.5-9b	hand-crafted	13,14,15	1	17,17,17	act/31	0	5	soap	4-6	0.1	2	0.3448275862068966	0.6781609195402298	0.19444444444444442	0.6111111111111112
