dataset	model	subset	seeds	fraction	n_train	position	c_begin	c_end	row	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
traceelephant	qwen3.5-9b	magentic	15,16,17	1/3	9,9,9	act/23	0	2	base		0.0		0.21739130434782608	0.6159420289855072	0.12962962962962962	0.5185185185185185
traceelephant	qwen3.5-9b	magentic	15,16,17	1/3	9,9,9	act/23	0	2	soap	6-8	1.0	4	0.2318840579710145	0.6449275362318841	0.1111111111111111	0.5185185185185185
traceelephant	qwen3.5-9b	magentic	15,16,17	2/3	18,18,18	act/23	0	2	base		0.0		0.21739130434782608	0.6159420289855072	0.12962962962962962	0.5185185185185185
traceelephant	qwen3.5-9b	magentic	15,16,17	2/3	18,18,18	act/23	0	2	soap	6-8	1.0	4	0.2318840579710145	0.6521739130434783	0.1111111111111111	0.5
traceelephant	qwen3.5-9b	magentic	15,16,17	1	27,27,27	act/23	0	2	base		0.0		0.2101449275362319	0.6159420289855072	0.14814814814814814	0.5185185185185185
traceelephant	qwen3.5-9b	magentic	15,16,17	1	27,27,27	act/23	0	2	soap	6-8	1.0	4	0.2318840579710145	0.6521739130434783	0.1111111111111111	0.5185185185185185
traceelephant	qwen3.5-9b	captain	22,23,24	1/3	8,8,8	act/23	0	19	base		0.0		0.3333333333333333	0.6046511627906976	0.17647058823529413	0.5882352941176471
traceelephant	qwen3.5-9b	captain	22,23,24	1/3	8,8,8	act/23	0	19	soap	6-8	0.2	all	0.3488372093023256	0.6124031007751938	0.2352941176470588	0.6274509803921569
traceelephant	qwen3.5-9b	captain	22,23,24	2/3	17,17,17	act/23	0	3	base		0.0		0.3333333333333333	0.5891472868217055	0.19607843137254902	0.5686274509803922
traceelephant	qwen3.5-9b	captain	22,23,24	2/3	17,17,17	act/23	0	3	soap	2-4	0.2	1	0.3488372093023256	0.6201550387596899	0.17647058823529413	0.6078431372549019
traceelephant	qwen3.5-9b	captain	22,23,24	1	25,25,25	act/23	0	3	base		0.0		0.3333333333333333	0.5813953488372093	0.19607843137254902	0.5686274509803922
traceelephant	qwen3.5-9b	captain	22,23,24	1	25,25,25	act/23	0	3	soap	6-8	0.1	5	0.3565891472868217	0.6046511627906976	0.21568627450980393	0.5882352941176471
