model	subset	seed	traj_idx	n_steps	step_idx	role	base	final	rank	is_gold
qwen3.5-9b	magentic	15	25	38	0	Orchestrator	0.0008322896901518106	0.0014337869361042976	2	False
qwen3.5-9b	magentic	15	25	38	1	WebSurfer	0.0006218444323167205	0.0012319158995524049	7	False
qwen3.5-9b	magentic	15	25	38	2	Orchestrator	0.0005900856922380626	0.0011399640934541821	11	False
qwen3.5-9b	magentic	15	25	38	3	WebSurfer	0.0007652714266441762	0.0014415548648685217	1	True
qwen3.5-9b	magentic	15	25	38	4	WebSurfer	0.000551438657566905	0.0010788169456645846	15	False
qwen3.5-9b	magentic	15	25	38	5	WebSurfer	0.0005401453236117959	0.001086025033146143	14	False
qwen3.5-9b	magentic	15	25	38	6	WebSurfer	0.000545879767742008	0.0010456437012180686	21	False
qwen3.5-9b	magentic	15	25	38	7	WebSurfer	0.0004997639334760606	0.001153038116171956	10	False
qwen3.5-9b	magentic	15	25	38	8	Orchestrator	0.0007759589934721589	0.0013042422942817211	4	False
qwen3.5-9b	magentic	15	25	38	9	WebSurfer	0.0005279954639263451	0.0010749875800684094	16	False
qwen3.5-9b	magentic	15	25	38	10	WebSurfer	0.0005687099182978272	0.0010747448541224003	18	False
qwen3.5-9b	magentic	15	25	38	11	WebSurfer	0.0005163951427675784	0.0005163951427675784	34	False
qwen3.5-9b	magentic	15	25	38	12	WebSurfer	0.0005605829646810889	0.001164716319181025	9	False
qwen3.5-9b	magentic	15	25	38	13	WebSurfer	0.0004890855634585023	0.0009696554625406861	25	False
qwen3.5-9b	magentic	15	25	38	14	Orchestrator	0.0005477412487380207	0.001089712604880333	13	False
qwen3.5-9b	magentic	15	25	38	15	WebSurfer	0.0007378969457931817	0.0014087673043832183	3	False
qwen3.5-9b	magentic	15	25	38	16	Orchestrator	0.000547110743355006	0.001074518426321447	19	False
qwen3.5-9b	magentic	15	25	38	17	Orchestrator	0.000538392981979996	0.000538392981979996	32	False
qwen3.5-9b	magentic	15	25	38	18	Orchestrator	0.0005399208166636527	0.0005399208166636527	31	False
qwen3.5-9b	magentic	15	25	38	19	Orchestrator	0.000673044181894511	0.0012962284963577986	5	False
qwen3.5-9b	magentic	15	25	38	20	Orchestrator	0.0005641683819703758	0.0010748212225735188	17	False
qwen3.5-9b	magentic	15	25	38	21	Orchestrator	0.0007225573062896729	0.0012809871695935726	6	False
qwen3.5-9b	magentic	15	25	38	22	Orchestrator	0.000510652840603143	0.000510652840603143	35	False
qwen3.5-9b	magentic	15	25	38	23	Orchestrator	0.0005668902304023504	0.001057283254340291	20	False
qwen3.5-9b	magentic	15	25	38	24	Orchestrator	0.00045978889102116227	0.0009166065137833357	27	False
qwen3.5-9b	magentic	15	25	38	25	Orchestrator	0.0005014202324673533	0.0005014202324673533	37	False
qwen3.5-9b	magentic	15	25	38	26	WebSurfer	0.0006762248813174665	0.0006762248813174665	28	False
qwen3.5-9b	magentic	15	25	38	27	Orchestrator	0.0005135068204253912	0.0009903537575155497	23	False
qwen3.5-9b	magentic	15	25	38	28	Orchestrator	0.000476846907986328	0.0009722881950438023	24	False
qwen3.5-9b	magentic	15	25	38	29	Orchestrator	0.0004954412579536438	0.0004954412579536438	38	False
qwen3.5-9b	magentic	15	25	38	30	Orchestrator	0.0005742263747379184	0.0010130582377314568	22	False
qwen3.5-9b	magentic	15	25	38	31	Orchestrator	0.0004388319212011993	0.0009600751218385994	26	False
qwen3.5-9b	magentic	15	25	38	32	Orchestrator	0.0005333597655408084	0.0005333597655408084	33	False
qwen3.5-9b	magentic	15	25	38	33	WebSurfer	0.0006650712457485497	0.0006650712457485497	29	False
qwen3.5-9b	magentic	15	25	38	34	WebSurfer	0.0005066473386250436	0.0011183780152350664	12	False
qwen3.5-9b	magentic	15	25	38	35	WebSurfer	0.0005104394513182342	0.0005104394513182342	36	False
qwen3.5-9b	magentic	15	25	38	36	Orchestrator	0.0006117307348176837	0.001218570163473487	8	False
qwen3.5-9b	magentic	15	25	38	37	WebSurfer	0.0006068393704481423	0.0006068393704481423	30	False
