seed	pooling	sel_by	source	position	method	c_begin	c_end	centered	weighted	undisc_step_acc_val	undisc_agent_acc_val	undisc_step_acc_test	undisc_agent_acc_test	svd_orient	layer_range	gamma	w	disc_step_acc_val	disc_agent_acc_val	disc_step_acc_test	disc_agent_acc_test	diff_step_acc_val	diff_agent_acc_val	diff_step_acc_test	diff_agent_acc_test
1	last	test	correct-full/magentic	act/31_normed	proj	0	15	False	False	0.5080789946140036	0.7091561938958707	0.518850987432675	0.6876122082585279	inverse	8-16	0.1	3	0.5098743267504489	0.7109515260323159	0.5170556552962298	0.6858168761220825	0.0017953321364452268	0.0017953321364452268	-0.0017953321364452268	-0.0017953321364453378
2	last	test	correct-full/magentic	act/8	proj	0	18	False	False	0.4991023339317774	0.7109515260323159	0.5296229802513465	0.7163375224416517	inverse	24-32	0.2	1	0.5008976660682226	0.7055655296229802	0.526032315978456	0.7163375224416517	0.0017953321364452268	-0.0053859964093356805	-0.0035906642728904536	0.0
3	last	test	correct-full/magentic	act/8	proj	0	19	False	False	0.5098743267504489	0.725314183123878	0.5170556552962298	0.7235188509874326	inverse	24-32	0.2	1	0.5152603231597845	0.725314183123878	0.5062836624775583	0.7235188509874326	0.0053859964093356805	0.0	-0.010771992818671472	0.0
1	mean	test	correct-full/magentic	act/12	proj	0	3	False	False	0.5727109515260324	0.7199281867145422	0.5493716337522442	0.7073608617594255	sigmoid	0-8	0.1	1	0.5906642728904847	0.7217235188509874	0.5493716337522442	0.7091561938958707	0.01795332136445238	0.0017953321364452268	0.0	0.0017953321364452268
2	mean	test	correct-full/magentic	act/12	proj	0	3	False	False	0.5368043087971275	0.7217235188509874	0.5745062836624776	0.7073608617594255	sigmoid	0-8	0.3	1	0.5547576301615799	0.7217235188509874	0.5763016157989228	0.7127468581687613	0.01795332136445238	0.0	0.0017953321364452268	0.0053859964093357915
3	mean	test	correct-full/magentic	act/12	proj	0	3	False	False	0.5763016157989228	0.7342908438061041	0.5601436265709157	0.7235188509874326	inverse	0-8	0.1	1	0.585278276481149	0.7378815080789947	0.547576301615799	0.725314183123878	0.008976660682226245	0.0035906642728905647	-0.012567324955116699	0.0017953321364453378
1	last	val	correct-full/magentic	act/31_normed	proj	0	16	False	False	0.5170556552962298	0.7109515260323159	0.5152603231597845	0.6894075403949731	negate	0-8	0.0	1	0.5170556552962298	0.7109515260323159	0.5152603231597845	0.6894075403949731	0.0	0.0	0.0	0.0
2	last	val	correct-full/magentic	act/9	proj	1	3	False	False	0.5062836624775583	0.696588868940754	0.5134649910233393	0.6786355475763016	sigmoid	24-32	0.4	1	0.5080789946140036	0.7055655296229802	0.5206463195691203	0.6876122082585279	0.0017953321364453378	0.008976660682226245	0.007181328545781018	0.008976660682226245
3	last	val	correct-full/magentic	act/9	proj	1	3	False	False	0.5350089766606823	0.7019748653500898	0.4793536804308797	0.6876122082585279	sigmoid	16-24	0.3	1	0.5439856373429084	0.6983842010771992	0.4757630161579892	0.6840215439856373	0.008976660682226134	-0.0035906642728905647	-0.003590664272890509	-0.0035906642728905647
1	mean	val	correct-full/magentic	act/16	proj	0	5	False	False	0.6014362657091562	0.703770197486535	0.5403949730700179	0.7019748653500898	sigmoid	0-8	0.1	1	0.6104129263913824	0.7127468581687613	0.5403949730700179	0.7001795332136446	0.008976660682226245	0.008976660682226245	0.0	-0.0017953321364452268
2	mean	val	correct-full/magentic	act/12	proj	0	2	False	False	0.5439856373429084	0.7145421903052065	0.5565529622980251	0.7055655296229802	inverse	8-16	0.2	4	0.5529622980251346	0.7217235188509874	0.5547576301615799	0.6894075403949731	0.008976660682226245	0.007181328545780907	-0.0017953321364452268	-0.016157989228007152
3	mean	val	correct-full/magentic	act/12	proj	0	2	False	False	0.578096947935368	0.7163375224416517	0.5314183123877917	0.7163375224416517	sigmoid	0-8	0.2	1	0.5870736086175943	0.7163375224416517	0.5350089766606823	0.7091561938958707	0.008976660682226245	0.0	0.0035906642728905647	-0.007181328545781018
