model	subset	seed	split	traj_idx	n_steps	step_idx	role	base	oriented	normalized	final	base_rank	final_rank	is_gold	is_base_pred	is_soap_pred
qwen3.5-9b	algorithm-generated	7	test	56	10	0	AlgorithmDesign_Expert	66.57859802246094	0.015019841492176056	0.015019841492176056	0.02284637652337551	5	2	False	False	False
qwen3.5-9b	algorithm-generated	7	test	56	10	1	RecyclingRate_Expert	74.76689147949219	0.013374904170632362	0.013374904170632362	0.013374904170632362	7	8	False	False	False
qwen3.5-9b	algorithm-generated	7	test	56	10	2	Computer_terminal	352.9368591308594	0.0028333680238574743	0.0028333680238574743	0.014232093468308449	10	6	False	False	False
qwen3.5-9b	algorithm-generated	7	test	56	10	3	RecyclingRate_Expert	73.98155212402344	0.013516883365809917	0.013516883365809917	0.013516883365809917	6	7	False	False	False
qwen3.5-9b	algorithm-generated	7	test	56	10	4	RecyclingRate_Expert	53.49639129638672	0.018692849203944206	0.018692849203944206	0.018692849203944206	2	4	False	False	False
qwen3.5-9b	algorithm-generated	7	test	56	10	5	Validation_Expert	59.56466293334961	0.016788477078080177	0.016788477078080177	0.024749290198087692	4	1	True	False	True
qwen3.5-9b	algorithm-generated	7	test	56	10	6	Computer_terminal	53.58539962768555	0.018661798909306526	0.018661798909306526	0.018661798909306526	3	5	False	False	False
qwen3.5-9b	algorithm-generated	7	test	56	10	7	Validation_Expert	75.36920166015625	0.013268019072711468	0.013268019072711468	0.013268019072711468	8	9	False	False	False
qwen3.5-9b	algorithm-generated	7	test	56	10	8	Validation_Expert	76.57636260986328	0.0130588598549366	0.0130588598549366	0.0130588598549366	9	10	False	False	False
qwen3.5-9b	algorithm-generated	7	test	56	10	9	Computer_terminal	51.72248840332031	0.01933394931256771	0.01933394931256771	0.01933394931256771	1	3	False	True	False
